
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,TrackID,ID,
5.21158,um,Surface,434,1000208321,213296,
4.92555,um,Surface,434,1000205236,213297,
4.88111,um,Surface,434,1000161146,213298,
5.10201,um,Surface,434,1000208944,213299,
4.69794,um,Surface,434,1000199432,213300,
5.9139,um,Surface,434,1000202567,213301,
5.9392,um,Surface,434,1000161145,213302,
4.87195,um,Surface,434,1000191712,213303,
5.80547,um,Surface,434,1000196348,213304,
7.93949,um,Surface,434,1000201094,213305,
6.14761,um,Surface,435,1000161032,213306,
4.95779,um,Surface,435,1000198833,213307,
6.5632,um,Surface,435,1000166950,213308,
5.78804,um,Surface,435,1000212391,213309,
4.99451,um,Surface,435,1000210650,213310,
6.50143,um,Surface,435,1000202801,213311,
6.25528,um,Surface,435,1000162116,213312,
4.80069,um,Surface,435,1000189692,213313,
4.89089,um,Surface,435,1000212567,213314,
4.43729,um,Surface,435,1000185942,213315,
7.35836,um,Surface,435,1000210467,213316,
4.75468,um,Surface,435,1000202411,213317,
4.39214,um,Surface,435,1000168619,213318,
4.38937,um,Surface,435,1000213056,213319,
5.08082,um,Surface,435,1000161049,213320,
10.1304,um,Surface,435,1000207101,213321,
4.85665,um,Surface,435,1000188975,213322,
5.19982,um,Surface,435,1000194928,213323,
5.02216,um,Surface,435,1000204718,213324,
5.46481,um,Surface,435,1000161072,213325,
4.57499,um,Surface,435,1000209244,213326,
4.94274,um,Surface,435,1000203533,213327,
5.20993,um,Surface,435,1000199773,213328,
6.2212,um,Surface,435,1000179475,213329,
5.50612,um,Surface,435,1000210851,213330,
6.02455,um,Surface,435,1000177939,213331,
4.42808,um,Surface,435,1000208231,213332,
4.63803,um,Surface,435,1000161104,213333,
7.06585,um,Surface,435,1000197225,213334,
5.6001,um,Surface,435,1000208321,213335,
4.67419,um,Surface,435,1000205236,213336,
5.75968,um,Surface,435,1000161145,213337,
4.42808,um,Surface,435,1000202567,213338,
4.89597,um,Surface,435,1000161146,213339,
5.07406,um,Surface,435,1000208944,213340,
4.9251,um,Surface,435,1000191712,213341,
