
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,TrackID,ID,
4.32996,um,Surface,300,1000218970,236939,
5.03913,um,Surface,300,1000234396,236940,
5.12437,um,Surface,300,1000199550,236941,
3.7648,um,Surface,300,1000231154,236942,
3.17759,um,Surface,300,1000190082,236943,
5.2826,um,Surface,300,1000232029,236944,
4.69716,um,Surface,300,1000229262,236945,
3.41388,um,Surface,300,1000220931,236946,
3.98385,um,Surface,300,1000190070,236947,
4.1872,um,Surface,300,1000190078,236948,
4.24402,um,Surface,300,1000190074,236949,
3.77065,um,Surface,300,1000190081,236950,
4.60836,um,Surface,300,1000228430,236951,
4.36625,um,Surface,300,1000190060,236952,
5.23929,um,Surface,300,1000236709,236953,
2.32329,um,Surface,300,1000227641,236954,
4.59463,um,Surface,300,1000190069,236955,
3.09365,um,Surface,300,1000236266,236956,
3.95023,um,Surface,300,1000231680,236957,
2.88418,um,Surface,300,1000190669,236958,
4.18925,um,Surface,300,1000234104,236959,
4.19944,um,Surface,300,1000225127,236960,
3.58092,um,Surface,300,1000234098,236961,
4.41937,um,Surface,300,1000209911,236962,
4.28638,um,Surface,300,1000190102,236963,
3.46188,um,Surface,300,1000222876,236964,
4.13625,um,Surface,300,1000190094,236965,
3.63622,um,Surface,300,1000236881,236966,
3.83599,um,Surface,300,1000224541,236967,
4.71354,um,Surface,300,1000226984,236968,
3.59159,um,Surface,300,1000190110,236969,
4.3857,um,Surface,300,1000215621,236970,
3.40761,um,Surface,300,1000222102,236971,
2.93795,um,Surface,300,1000206660,236972,
3.05754,um,Surface,300,1000190118,236973,
1.9803,um,Surface,300,1000190091,236974,
1.98032,um,Surface,300,1000190117,236975,
5.17088,um,Surface,300,1000232895,236976,
2.41034,um,Surface,300,1000227524,236977,
5.53791,um,Surface,300,1000219195,236978,
3.1827,um,Surface,300,1000190129,236979,
3.35043,um,Surface,300,1000231939,236980,
4.41825,um,Surface,300,1000190130,236981,
3.59692,um,Surface,300,1000190126,236982,
3.63511,um,Surface,300,1000190416,236983,
3.31114,um,Surface,300,1000219672,236984,
1.99404,um,Surface,300,1000236985,236985,
4.22342,um,Surface,300,1000219206,236986,
2.34301,um,Surface,300,1000190134,236987,
3.94736,um,Surface,300,1000229968,236988,
3.04702,um,Surface,300,1000228905,236989,
1.98031,um,Surface,300,1000231721,236990,
3.263,um,Surface,300,1000209980,236991,
4.81466,um,Surface,301,1000235565,236992,
4.43167,um,Surface,301,1000219866,236993,
3.86311,um,Surface,301,1000233369,236994,
2.32329,um,Surface,301,1000235079,236995,
3.49013,um,Surface,301,1000222142,236996,
2.38075,um,Surface,301,1000190586,236997,
4.05089,um,Surface,301,1000227434,236998,
2.75591,um,Surface,301,1000190294,236999,
3.65008,um,Surface,301,1000226767,237000,
3.73688,um,Surface,301,1000230364,237001,
3.94644,um,Surface,301,1000225060,237002,
4.10878,um,Surface,301,1000210577,237003,
2.68982,um,Surface,301,1000191540,237004,
3.44927,um,Surface,301,1000221656,237005,
3.89314,um,Surface,301,1000218119,237006,
4.52486,um,Surface,301,1000220704,237007,
1.98037,um,Surface,301,1000207143,237008,
6.13307,um,Surface,301,1000225374,237009,
3.57039,um,Surface,301,1000231127,237010,
7.25406,um,Surface,301,1000190052,237011,
4.049,um,Surface,301,1000191553,237012,
3.58207,um,Surface,301,1000229358,237013,
3.98719,um,Surface,301,1000200298,237014,
3.34476,um,Surface,301,1000229618,237015,
1.98037,um,Surface,301,1000225673,237016,
4.8501,um,Surface,301,1000230532,237017,
4.80216,um,Surface,301,1000232584,237018,
4.2933,um,Surface,301,1000231776,237019,
5.62669,um,Surface,301,1000224498,237020,
4.72927,um,Surface,301,1000221385,237021,
4.05231,um,Surface,301,1000234070,237022,
4.35867,um,Surface,301,1000218970,237023,
4.27845,um,Surface,301,1000234396,237024,
4.31497,um,Surface,301,1000236336,237025,
4.35791,um,Surface,301,1000231154,237026,
3.61807,um,Surface,301,1000190078,237027,
5.5156,um,Surface,301,1000232029,237028,
4.36003,um,Surface,301,1000190060,237029,
3.90438,um,Surface,301,1000190070,237030,
4.17436,um,Surface,301,1000190082,237031,
5.11637,um,Surface,301,1000229262,237032,
3.26746,um,Surface,301,1000190074,237033,
3.18067,um,Surface,301,1000190081,237034,
4.24875,um,Surface,301,1000220931,237035,
4.38576,um,Surface,301,1000228430,237036,
4.68846,um,Surface,301,1000236709,237037,
2.29496,um,Surface,301,1000227641,237038,
