
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,TrackID,ID,
5.84728,um,Surface,5,1000190091,190518,
4.68192,um,Surface,5,1000190087,190519,
3.99571,um,Surface,5,1000190092,190520,
5.17614,um,Surface,5,1000190084,190521,
1.98026,um,Surface,5,1000190522,190522,
4.42516,um,Surface,5,1000190095,190523,
4.40298,um,Surface,5,1000190086,190524,
4.28898,um,Surface,5,1000190090,190525,
5.63098,um,Surface,5,1000190094,190526,
3.81374,um,Surface,5,1000190096,190527,
3.96527,um,Surface,5,1000190375,190528,
4.24217,um,Surface,5,1000190089,190529,
5.09897,um,Surface,5,1000190108,190530,
4.2331,um,Surface,5,1000190104,190531,
4.50596,um,Surface,5,1000190098,190532,
5.37156,um,Surface,5,1000190097,190533,
4.26709,um,Surface,5,1000190105,190534,
5.15085,um,Surface,5,1000190101,190535,
4.84206,um,Surface,5,1000190107,190536,
5.34605,um,Surface,5,1000190100,190537,
5.68682,um,Surface,5,1000190102,190538,
4.89947,um,Surface,5,1000190103,190539,
5.00444,um,Surface,5,1000190106,190540,
4.29966,um,Surface,5,1000190110,190541,
4.30702,um,Surface,5,1000190109,190542,
4.54511,um,Surface,5,1000190113,190543,
5.3993,um,Surface,5,1000190111,190544,
4.24608,um,Surface,5,1000190112,190545,
4.91213,um,Surface,5,1000190114,190546,
5.48089,um,Surface,5,1000190259,190547,
4.56172,um,Surface,5,1000190115,190548,
4.22536,um,Surface,5,1000190124,190549,
4.13421,um,Surface,5,1000190118,190550,
4.51183,um,Surface,5,1000190123,190551,
5.14064,um,Surface,5,1000190121,190552,
5.64173,um,Surface,5,1000190117,190553,
2.54703,um,Surface,5,1000190116,190554,
4.32569,um,Surface,5,1000190127,190555,
3.82907,um,Surface,5,1000190128,190556,
5.48387,um,Surface,5,1000190119,190557,
5.95196,um,Surface,5,1000190122,190558,
5.13282,um,Surface,5,1000190120,190559,
5.13717,um,Surface,5,1000190125,190560,
5.43253,um,Surface,5,1000190126,190561,
4.59945,um,Surface,5,1000190133,190562,
5.58523,um,Surface,5,1000190130,190563,
5.07825,um,Surface,5,1000190131,190564,
4.4768,um,Surface,5,1000190416,190565,
4.2092,um,Surface,5,1000190135,190566,
4.13015,um,Surface,5,1000190134,190567,
4.72525,um,Surface,5,1000190129,190568,
4.28719,um,Surface,5,1000190137,190569,
5.50008,um,Surface,5,1000190138,190570,
4.23539,um,Surface,5,1000190132,190571,
4.23662,um,Surface,5,1000190139,190572,
3.31765,um,Surface,5,1000190140,190573,
5.70538,um,Surface,5,1000190136,190574,
5.27805,um,Surface,6,1000190016,190575,
5.43273,um,Surface,6,1000190013,190576,
4.15785,um,Surface,6,1000190294,190577,
5.62006,um,Surface,6,1000190014,190578,
5.65979,um,Surface,6,1000190015,190579,
3.68401,um,Surface,6,1000190010,190580,
5.05431,um,Surface,6,1000190284,190581,
5.24021,um,Surface,6,1000190011,190582,
4.00717,um,Surface,6,1000190012,190583,
5.26,um,Surface,6,1000190008,190584,
4.5596,um,Surface,6,1000190007,190585,
4.2734,um,Surface,6,1000190586,190586,
5.04092,um,Surface,6,1000190009,190587,
4.88724,um,Surface,6,1000190005,190588,
4.27179,um,Surface,6,1000190006,190589,
3.53607,um,Surface,6,1000190590,190590,
5.18021,um,Surface,6,1000190017,190591,
4.28605,um,Surface,6,1000190019,190592,
4.92569,um,Surface,6,1000190018,190593,
6.03232,um,Surface,6,1000190020,190594,
4.19383,um,Surface,6,1000190159,190595,
4.31272,um,Surface,6,1000190021,190596,
4.7844,um,Surface,6,1000190597,190597,
5.39125,um,Surface,6,1000190023,190598,
4.53754,um,Surface,6,1000190022,190599,
4.27675,um,Surface,6,1000190024,190600,
5.85665,um,Surface,6,1000190301,190601,
4.67279,um,Surface,6,1000190025,190602,
3.70231,um,Surface,6,1000190029,190603,
4.95493,um,Surface,6,1000190026,190604,
3.97631,um,Surface,6,1000190031,190605,
4.76847,um,Surface,6,1000190033,190606,
4.44756,um,Surface,6,1000190034,190607,
4.5345,um,Surface,6,1000190028,190608,
3.6702,um,Surface,6,1000190030,190609,
5.62919,um,Surface,6,1000190041,190610,
4.31131,um,Surface,6,1000190032,190611,
5.15457,um,Surface,6,1000190027,190612,
5.21281,um,Surface,6,1000190040,190613,
5.25288,um,Surface,6,1000190037,190614,
5.0977,um,Surface,6,1000190036,190615,
4.95037,um,Surface,6,1000190035,190616,
4.49556,um,Surface,6,1000190046,190617,
4.26121,um,Surface,6,1000190043,190618,
4.31183,um,Surface,6,1000190039,190619,
5.74176,um,Surface,6,1000190038,190620,
4.95757,um,Surface,6,1000190049,190621,
4.04255,um,Surface,6,1000190042,190622,
5.32453,um,Surface,6,1000190045,190623,
4.31035,um,Surface,6,1000190047,190624,
5.00079,um,Surface,6,1000190048,190625,
4.27576,um,Surface,6,1000190053,190626,
4.88998,um,Surface,6,1000190044,190627,
5.4869,um,Surface,6,1000190050,190628,
