
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.448124,,Surface,81,57638,
0.197204,,Surface,81,57639,
0.349047,,Surface,81,57640,
0.482617,,Surface,81,57641,
0.212516,,Surface,81,57642,
0.454715,,Surface,81,57643,
0.427217,,Surface,81,57644,
0.37334,,Surface,81,57645,
0.330301,,Surface,81,57646,
0.28295,,Surface,81,57647,
0.430875,,Surface,81,57648,
0.407296,,Surface,81,57649,
0.40011,,Surface,81,57650,
0.26608,,Surface,81,57651,
0.347472,,Surface,81,57652,
0.291691,,Surface,81,57653,
0.277081,,Surface,81,57654,
0.303224,,Surface,82,57655,
0.531646,,Surface,82,57656,
0.353644,,Surface,82,57657,
0.40664,,Surface,82,57658,
0.407685,,Surface,82,57659,
0.255859,,Surface,82,57660,
0.322742,,Surface,82,57661,
0.284336,,Surface,82,57662,
0.373869,,Surface,82,57663,
0.508006,,Surface,82,57664,
0.24542,,Surface,82,57665,
0.264851,,Surface,82,57666,
0.200296,,Surface,82,57667,
0.156836,,Surface,82,57668,
0.222733,,Surface,82,57669,
0.266159,,Surface,82,57670,
0.249453,,Surface,82,57671,
0.400378,,Surface,82,57672,
0.286893,,Surface,82,57673,
0.527772,,Surface,82,57674,
0.357766,,Surface,82,57675,
0.234129,,Surface,82,57676,
0.481866,,Surface,82,57677,
0.801559,,Surface,82,57678,
0.457469,,Surface,82,57679,
0.335157,,Surface,82,57680,
0.187703,,Surface,82,57681,
0.431686,,Surface,82,57682,
0.263807,,Surface,82,57683,
0.257087,,Surface,82,57684,
0.362885,,Surface,82,57685,
0.332477,,Surface,82,57686,
0.388079,,Surface,82,57687,
0.354722,,Surface,82,57688,
0.232111,,Surface,82,57689,
0.340846,,Surface,82,57690,
0.496264,,Surface,82,57691,
0.284184,,Surface,83,57692,
0.539696,,Surface,83,57693,
0.346261,,Surface,83,57694,
0.461689,,Surface,83,57695,
0.339872,,Surface,83,57696,
0.383269,,Surface,83,57697,
0.428134,,Surface,83,57698,
0.366955,,Surface,83,57699,
0.282306,,Surface,83,57700,
0.264841,,Surface,83,57701,
0.369061,,Surface,83,57702,
0.463438,,Surface,83,57703,
0.254716,,Surface,83,57704,
0.20142,,Surface,83,57705,
0.173902,,Surface,83,57706,
0.300106,,Surface,83,57707,
0.261754,,Surface,83,57708,
0.129484,,Surface,83,57709,
0.298979,,Surface,83,57710,
0.384513,,Surface,83,57711,
0.495916,,Surface,83,57712,
0.360194,,Surface,83,57713,
0.225732,,Surface,83,57714,
0.49161,,Surface,83,57715,
0.261421,,Surface,83,57716,
0.451549,,Surface,83,57717,
0.341826,,Surface,83,57718,
0.198429,,Surface,83,57719,
0.418306,,Surface,83,57720,
0.253743,,Surface,83,57721,
0.362522,,Surface,83,57722,
0.278185,,Surface,83,57723,
0.346909,,Surface,83,57724,
0.414636,,Surface,83,57725,
0.45716,,Surface,83,57726,
0.227047,,Surface,83,57727,
0.336246,,Surface,83,57728,
0.486303,,Surface,83,57729,
0.386125,,Surface,84,57730,
0.269662,,Surface,84,57731,
0.506202,,Surface,84,57732,
0.376427,,Surface,84,57733,
0.449691,,Surface,84,57734,
0.326428,,Surface,84,57735,
0.355433,,Surface,84,57736,
0.270803,,Surface,84,57737,
0.240917,,Surface,84,57738,
0.394494,,Surface,84,57739,
0.453692,,Surface,84,57740,
0.270311,,Surface,84,57741,
0.197485,,Surface,84,57742,
0.156589,,Surface,84,57743,
0.289539,,Surface,84,57744,
0.295456,,Surface,84,57745,
0.134626,,Surface,84,57746,
0.300775,,Surface,84,57747,
0.330625,,Surface,84,57748,
0.24672,,Surface,84,57749,
0.538122,,Surface,84,57750,
0.218331,,Surface,84,57751,
0.475756,,Surface,84,57752,
0.176566,,Surface,84,57753,
0.48957,,Surface,84,57754,
0.178767,,Surface,84,57755,
0.320361,,Surface,84,57756,
0.389853,,Surface,84,57757,
0.294469,,Surface,84,57758,
0.404427,,Surface,84,57759,
0.337765,,Surface,84,57760,
0.428019,,Surface,84,57761,
0.464786,,Surface,84,57762,
0.220622,,Surface,84,57763,
0.349345,,Surface,84,57764,
0.320376,,Surface,84,57765,
0.49733,,Surface,84,57766,
0.256468,,Surface,85,57767,
0.367699,,Surface,85,57768,
0.293024,,Surface,85,57769,
0.483499,,Surface,85,57770,
0.399248,,Surface,85,57771,
0.345831,,Surface,85,57772,
0.260657,,Surface,85,57773,
0.450528,,Surface,85,57774,
0.266371,,Surface,85,57775,
0.372257,,Surface,85,57776,
0.224781,,Surface,85,57777,
0.21036,,Surface,85,57778,
0.182025,,Surface,85,57779,
0.283912,,Surface,85,57780,
0.333599,,Surface,85,57781,
0.7161,,Surface,85,57782,
0.164448,,Surface,85,57783,
0.330971,,Surface,85,57784,
0.395983,,Surface,85,57785,
0.453772,,Surface,85,57786,
0.252046,,Surface,85,57787,
0.526196,,Surface,85,57788,
0.239533,,Surface,85,57789,
0.470702,,Surface,85,57790,
0.49084,,Surface,85,57791,
0.322644,,Surface,85,57792,
0.198129,,Surface,85,57793,
0.39055,,Surface,85,57794,
0.388704,,Surface,85,57795,
0.315889,,Surface,85,57796,
0.284823,,Surface,85,57797,
0.374368,,Surface,85,57798,
0.43442,,Surface,85,57799,
0.353632,,Surface,85,57800,
0.251487,,Surface,85,57801,
0.329339,,Surface,85,57802,
0.498096,,Surface,85,57803,
0.276833,,Surface,86,57804,
0.464884,,Surface,86,57805,
0.340345,,Surface,86,57806,
0.193853,,Surface,86,57807,
0.380911,,Surface,86,57808,
0.367724,,Surface,86,57809,
0.267146,,Surface,86,57810,
0.28624,,Surface,86,57811,
0.332158,,Surface,86,57812,
0.382262,,Surface,86,57813,
0.248485,,Surface,86,57814,
0.217873,,Surface,86,57815,
0.127856,,Surface,86,57816,
0.291004,,Surface,86,57817,
0.353206,,Surface,86,57818,
0.143911,,Surface,86,57819,
0.272545,,Surface,86,57820,
0.323019,,Surface,86,57821,
0.471648,,Surface,86,57822,
0.507212,,Surface,86,57823,
0.278986,,Surface,86,57824,
0.202947,,Surface,86,57825,
0.596374,,Surface,86,57826,
0.334202,,Surface,86,57827,
0.511344,,Surface,86,57828,
0.191782,,Surface,86,57829,
0.195438,,Surface,86,57830,
0.510673,,Surface,86,57831,
0.403948,,Surface,86,57832,
0.307188,,Surface,86,57833,
0.284172,,Surface,86,57834,
0.366434,,Surface,86,57835,
0.42565,,Surface,86,57836,
0.353127,,Surface,86,57837,
0.312176,,Surface,86,57838,
0.332758,,Surface,86,57839,
