
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,TrackID,ID,
10.9696,12.5412,13.7774,um,Surface,BoundingBoxOO Length,3,1000224470,224696,
10.7706,11.9904,12.144,um,Surface,BoundingBoxOO Length,3,1000224464,224697,
13.4528,14.4258,14.2746,um,Surface,BoundingBoxOO Length,3,1000224465,224698,
10.5008,11.7828,13.2319,um,Surface,BoundingBoxOO Length,3,1000224466,224699,
13.532,13.5662,14.3384,um,Surface,BoundingBoxOO Length,3,1000224467,224700,
8.14622,10.8683,12.0799,um,Surface,BoundingBoxOO Length,3,1000224701,224701,
11.7022,12.3155,13.0681,um,Surface,BoundingBoxOO Length,3,1000224458,224702,
11.8005,11.5989,12.6551,um,Surface,BoundingBoxOO Length,3,1000224459,224703,
10.5066,12.1952,13.4815,um,Surface,BoundingBoxOO Length,3,1000224461,224704,
10.4881,11.3622,14.3254,um,Surface,BoundingBoxOO Length,3,1000224460,224705,
9.90587,10.2935,11.3384,um,Surface,BoundingBoxOO Length,3,1000224462,224706,
14.1675,17.1084,20.9212,um,Surface,BoundingBoxOO Length,3,1000224463,224707,
10.5901,12.5082,12.9443,um,Surface,BoundingBoxOO Length,3,1000224473,224708,
10.0584,10.6053,12.8438,um,Surface,BoundingBoxOO Length,3,1000224469,224709,
14.2384,14.9156,16.9201,um,Surface,BoundingBoxOO Length,3,1000224468,224710,
11.7245,12.5813,13.0371,um,Surface,BoundingBoxOO Length,3,1000224477,224711,
12.7096,13.9395,14.2075,um,Surface,BoundingBoxOO Length,3,1000224472,224712,
11.7628,13.3814,13.975,um,Surface,BoundingBoxOO Length,3,1000224471,224713,
13.1171,13.7138,15.9942,um,Surface,BoundingBoxOO Length,3,1000224474,224714,
11.3379,13.2003,15.1269,um,Surface,BoundingBoxOO Length,3,1000224475,224715,
14.416,17.3145,17.5832,um,Surface,BoundingBoxOO Length,3,1000224479,224716,
10.7633,12.3271,12.6949,um,Surface,BoundingBoxOO Length,3,1000224480,224717,
11.756,13.7007,14.789,um,Surface,BoundingBoxOO Length,3,1000224476,224718,
11.8857,12.4593,13.3837,um,Surface,BoundingBoxOO Length,3,1000224484,224719,
10.8193,12.1129,13.5985,um,Surface,BoundingBoxOO Length,3,1000224478,224720,
10.7996,11.4222,11.9759,um,Surface,BoundingBoxOO Length,3,1000224486,224721,
11.5254,12.1214,13.5882,um,Surface,BoundingBoxOO Length,3,1000224482,224722,
10.4356,11.1092,12.5327,um,Surface,BoundingBoxOO Length,3,1000224483,224723,
12.9151,14.3602,14.7428,um,Surface,BoundingBoxOO Length,3,1000224488,224724,
10.8885,13.1592,13.4508,um,Surface,BoundingBoxOO Length,3,1000224485,224725,
10.7775,10.6826,13.614,um,Surface,BoundingBoxOO Length,3,1000224481,224726,
12.0656,13.2622,13.2576,um,Surface,BoundingBoxOO Length,3,1000224490,224727,
11.9164,11.9316,14.0694,um,Surface,BoundingBoxOO Length,3,1000224487,224728,
10.1757,11.9386,11.9325,um,Surface,BoundingBoxOO Length,3,1000224491,224729,
10.476,12.7076,16.3403,um,Surface,BoundingBoxOO Length,3,1000224489,224730,
13.7867,20.9269,22.7978,um,Surface,BoundingBoxOO Length,3,1000224492,224731,
10.6777,11.4202,12.3161,um,Surface,BoundingBoxOO Length,3,1000224493,224732,
10.5779,11.6077,12.7769,um,Surface,BoundingBoxOO Length,3,1000224496,224733,
11.1057,11.318,12.7563,um,Surface,BoundingBoxOO Length,3,1000224494,224734,
11.7075,15.3479,18.3255,um,Surface,BoundingBoxOO Length,3,1000224500,224735,
13.2962,13.9671,18.536,um,Surface,BoundingBoxOO Length,3,1000224499,224736,
10.2769,12.8158,13.2407,um,Surface,BoundingBoxOO Length,3,1000224502,224737,
10.6888,14.1104,14.1277,um,Surface,BoundingBoxOO Length,3,1000224497,224738,
12.0179,11.9897,12.6508,um,Surface,BoundingBoxOO Length,3,1000224495,224739,
10.938,13.0454,12.9169,um,Surface,BoundingBoxOO Length,3,1000224506,224740,
11.4298,11.6267,14.0244,um,Surface,BoundingBoxOO Length,3,1000224501,224741,
10.5331,10.2682,11.3825,um,Surface,BoundingBoxOO Length,3,1000224498,224742,
10.9324,12.5134,13.4249,um,Surface,BoundingBoxOO Length,3,1000224503,224743,
12.2026,13.3552,13.7292,um,Surface,BoundingBoxOO Length,3,1000224504,224744,
11.9343,12.6572,15.4756,um,Surface,BoundingBoxOO Length,3,1000224505,224745,
12.4754,13.3078,22.2027,um,Surface,BoundingBoxOO Length,3,1000224509,224746,
12.9091,13.4254,14.8887,um,Surface,BoundingBoxOO Length,3,1000224508,224747,
12.6348,13.869,14.0944,um,Surface,BoundingBoxOO Length,3,1000224511,224748,
11.7002,12.9122,19.6601,um,Surface,BoundingBoxOO Length,3,1000224515,224749,
11.9465,12.1181,13.4884,um,Surface,BoundingBoxOO Length,3,1000224512,224750,
12.5854,13.2273,15.8913,um,Surface,BoundingBoxOO Length,3,1000224507,224751,
10.5652,12.0866,13.8354,um,Surface,BoundingBoxOO Length,3,1000224519,224752,
10.7557,12.5736,13.2495,um,Surface,BoundingBoxOO Length,3,1000224514,224753,
10.6273,11.2564,13.1195,um,Surface,BoundingBoxOO Length,3,1000224510,224754,
11.1122,11.606,13.3368,um,Surface,BoundingBoxOO Length,3,1000224517,224755,
10.5306,11.4034,14.4598,um,Surface,BoundingBoxOO Length,3,1000224513,224756,
10.7065,11.8459,12.6302,um,Surface,BoundingBoxOO Length,3,1000224520,224757,
12.0896,13.3296,14.1642,um,Surface,BoundingBoxOO Length,3,1000224522,224758,
13.0298,13.5734,14.5288,um,Surface,BoundingBoxOO Length,3,1000224516,224759,
10.8176,12.6185,12.9098,um,Surface,BoundingBoxOO Length,3,1000224518,224760,
11.8098,12.7992,13.5742,um,Surface,BoundingBoxOO Length,3,1000224523,224761,
11.4004,11.9565,13.2343,um,Surface,BoundingBoxOO Length,3,1000224524,224762,
10.7165,12.5227,25.0193,um,Surface,BoundingBoxOO Length,3,1000224521,224763,
13.1977,13.0595,14.1016,um,Surface,BoundingBoxOO Length,3,1000224525,224764,
11.5168,12.7693,13.9928,um,Surface,BoundingBoxOO Length,3,1000224526,224765,
12.9124,14.9556,18.7841,um,Surface,BoundingBoxOO Length,3,1000224528,224766,
10.6101,11.1643,12.412,um,Surface,BoundingBoxOO Length,3,1000224527,224767,
