
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,TrackID,ID,
14.1699,17.7123,14.7,um,Surface,BoundingBoxAA Length,2,1000224562,224682,
14.1698,14.1699,11.55,um,Surface,BoundingBoxAA Length,2,1000224565,224683,
10.6274,21.2548,16.8,um,Surface,BoundingBoxAA Length,2,1000224564,224684,
14.1699,17.7123,13.65,um,Surface,BoundingBoxAA Length,2,1000224566,224685,
10.6274,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224567,224686,
14.1698,14.1699,16.8,um,Surface,BoundingBoxAA Length,2,1000224569,224687,
14.1699,14.1699,15.75,um,Surface,BoundingBoxAA Length,2,1000224570,224688,
10.6274,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224571,224689,
14.1699,17.7123,13.65,um,Surface,BoundingBoxAA Length,2,1000224572,224690,
14.1699,7.08493,13.65,um,Surface,BoundingBoxAA Length,2,1000224573,224691,
14.1699,17.7123,14.7,um,Surface,BoundingBoxAA Length,2,1000224568,224692,
7.08494,7.08493,9.45,um,Surface,BoundingBoxAA Length,2,1000224693,224693,
7.08493,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224574,224694,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224575,224695,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224470,224696,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224464,224697,
14.1699,14.1699,15.75,um,Surface,BoundingBoxAA Length,3,1000224465,224698,
10.6274,14.1699,14.7,um,Surface,BoundingBoxAA Length,3,1000224466,224699,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,3,1000224467,224700,
14.1699,14.1699,9.45,um,Surface,BoundingBoxAA Length,3,1000224701,224701,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,3,1000224458,224702,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224459,224703,
14.1699,14.1698,14.7,um,Surface,BoundingBoxAA Length,3,1000224461,224704,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224460,224705,
10.6274,14.1699,11.55,um,Surface,BoundingBoxAA Length,3,1000224462,224706,
21.2548,17.7123,14.7,um,Surface,BoundingBoxAA Length,3,1000224463,224707,
10.6274,14.1698,14.7,um,Surface,BoundingBoxAA Length,3,1000224473,224708,
10.6274,14.1699,11.55,um,Surface,BoundingBoxAA Length,3,1000224469,224709,
17.7123,17.7123,17.85,um,Surface,BoundingBoxAA Length,3,1000224468,224710,
14.1698,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224477,224711,
14.1699,17.7123,15.75,um,Surface,BoundingBoxAA Length,3,1000224472,224712,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,3,1000224471,224713,
17.7124,17.7123,13.65,um,Surface,BoundingBoxAA Length,3,1000224474,224714,
14.1699,14.1698,14.7,um,Surface,BoundingBoxAA Length,3,1000224475,224715,
17.7123,17.7124,16.8,um,Surface,BoundingBoxAA Length,3,1000224479,224716,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224480,224717,
14.1699,14.1698,13.65,um,Surface,BoundingBoxAA Length,3,1000224476,224718,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224484,224719,
10.6274,17.7124,13.65,um,Surface,BoundingBoxAA Length,3,1000224478,224720,
14.1698,14.1698,12.6,um,Surface,BoundingBoxAA Length,3,1000224486,224721,
14.1699,17.7123,12.6,um,Surface,BoundingBoxAA Length,3,1000224482,224722,
14.1698,10.6274,12.6,um,Surface,BoundingBoxAA Length,3,1000224483,224723,
14.1698,14.1699,14.7,um,Surface,BoundingBoxAA Length,3,1000224488,224724,
10.6274,17.7123,14.7,um,Surface,BoundingBoxAA Length,3,1000224485,224725,
14.1699,14.1698,11.55,um,Surface,BoundingBoxAA Length,3,1000224481,224726,
14.1698,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224490,224727,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224487,224728,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224491,224729,
14.1699,10.6274,17.85,um,Surface,BoundingBoxAA Length,3,1000224489,224730,
21.2548,24.7973,15.75,um,Surface,BoundingBoxAA Length,3,1000224492,224731,
14.1699,14.1699,11.55,um,Surface,BoundingBoxAA Length,3,1000224493,224732,
14.1698,17.7124,11.55,um,Surface,BoundingBoxAA Length,3,1000224496,224733,
14.1698,14.1698,12.6,um,Surface,BoundingBoxAA Length,3,1000224494,224734,
17.7124,21.2548,16.8,um,Surface,BoundingBoxAA Length,3,1000224500,224735,
17.7124,17.7123,14.7,um,Surface,BoundingBoxAA Length,3,1000224499,224736,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224502,224737,
10.6274,17.7123,14.7,um,Surface,BoundingBoxAA Length,3,1000224497,224738,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224495,224739,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224506,224740,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224501,224741,
10.6274,10.6274,11.55,um,Surface,BoundingBoxAA Length,3,1000224498,224742,
14.1699,17.7123,13.65,um,Surface,BoundingBoxAA Length,3,1000224503,224743,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224504,224744,
14.1699,17.7123,13.65,um,Surface,BoundingBoxAA Length,3,1000224505,224745,
21.2548,14.1699,19.95,um,Surface,BoundingBoxAA Length,3,1000224509,224746,
17.7124,17.7123,13.65,um,Surface,BoundingBoxAA Length,3,1000224508,224747,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,3,1000224511,224748,
17.7123,21.2548,11.55,um,Surface,BoundingBoxAA Length,3,1000224515,224749,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224512,224750,
14.1699,14.1699,15.75,um,Surface,BoundingBoxAA Length,3,1000224507,224751,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224519,224752,
10.6274,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224514,224753,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224510,224754,
17.7123,17.7123,12.6,um,Surface,BoundingBoxAA Length,3,1000224517,224755,
