
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,TrackID,ID,
-35.484,999.109,-22.8712,um,Surface,Ellipsoid Axis B,2,1000224487,224610,
169.352,-867.172,-468.329,um,Surface,Ellipsoid Axis B,2,1000224494,224611,
770.947,-489.263,-407.753,um,Surface,Ellipsoid Axis B,2,1000224495,224612,
80.6713,-544.84,834.651,um,Surface,Ellipsoid Axis B,2,1000224496,224613,
830.652,-348.329,434.378,um,Surface,Ellipsoid Axis B,2,1000224492,224614,
705.655,-706.52,-53.6679,um,Surface,Ellipsoid Axis B,2,1000224502,224615,
708.683,-347.979,613.742,um,Surface,Ellipsoid Axis B,2,1000224497,224616,
945.781,-295.987,-133.752,um,Surface,Ellipsoid Axis B,2,1000224499,224617,
-61.5322,774.427,-629.664,um,Surface,Ellipsoid Axis B,2,1000224501,224618,
599.264,-785.221,155.921,um,Surface,Ellipsoid Axis B,2,1000224500,224619,
334.204,900.466,-278.332,um,Surface,Ellipsoid Axis B,2,1000224498,224620,
72.9174,-957.351,-279.576,um,Surface,Ellipsoid Axis B,2,1000224504,224621,
933.987,-132.331,331.9,um,Surface,Ellipsoid Axis B,2,1000224506,224622,
689.104,688.553,-225.9,um,Surface,Ellipsoid Axis B,2,1000224503,224623,
567.721,-758.201,-320.662,um,Surface,Ellipsoid Axis B,2,1000224505,224624,
-763.447,-588.927,-265.167,um,Surface,Ellipsoid Axis B,2,1000224507,224625,
608.279,-509.073,608.968,um,Surface,Ellipsoid Axis B,2,1000224509,224626,
-277.987,928.854,-244.855,um,Surface,Ellipsoid Axis B,2,1000224508,224627,
854.019,-518.295,44.9752,um,Surface,Ellipsoid Axis B,2,1000224510,224628,
201.225,-831.178,518.316,um,Surface,Ellipsoid Axis B,2,1000224512,224629,
183.314,-981.355,-57.7712,um,Surface,Ellipsoid Axis B,2,1000224511,224630,
601.627,386.307,-699.15,um,Surface,Ellipsoid Axis B,2,1000224519,224631,
440.908,-886.939,-137.619,um,Surface,Ellipsoid Axis B,2,1000224515,224632,
53.7615,-873.894,-483.135,um,Surface,Ellipsoid Axis B,2,1000224517,224633,
164.441,887.446,430.579,um,Surface,Ellipsoid Axis B,2,1000224513,224634,
782.073,579.475,-229.284,um,Surface,Ellipsoid Axis B,2,1000224514,224635,
755.078,-576.236,-312.746,um,Surface,Ellipsoid Axis B,2,1000224521,224636,
-323.202,-899.379,294.376,um,Surface,Ellipsoid Axis B,2,1000224520,224637,
-25.8167,-760.131,649.257,um,Surface,Ellipsoid Axis B,2,1000224516,224638,
688.474,24.0249,-724.863,um,Surface,Ellipsoid Axis B,2,1000224518,224639,
73.4753,985.114,155.411,um,Surface,Ellipsoid Axis B,2,1000224523,224640,
601.737,-671.568,432.329,um,Surface,Ellipsoid Axis B,2,1000224525,224641,
547.973,-781.797,-297.522,um,Surface,Ellipsoid Axis B,2,1000224524,224642,
986.94,-11.4914,160.676,um,Surface,Ellipsoid Axis B,2,1000224522,224643,
997.991,-39.3811,-49.6299,um,Surface,Ellipsoid Axis B,2,1000224526,224644,
78.7153,-753.18,653.088,um,Surface,Ellipsoid Axis B,2,1000224527,224645,
811.99,-493.088,-312.309,um,Surface,Ellipsoid Axis B,2,1000224528,224646,
-76.9554,-183.644,-979.976,um,Surface,Ellipsoid Axis B,2,1000224531,224647,
970.836,26.199,238.311,um,Surface,Ellipsoid Axis B,2,1000224530,224648,
435.542,421.888,795.181,um,Surface,Ellipsoid Axis B,2,1000224532,224649,
-860.294,-355.126,365.76,um,Surface,Ellipsoid Axis B,2,1000224534,224650,
17.2262,-163.788,986.345,um,Surface,Ellipsoid Axis B,2,1000224529,224651,
76.297,-964.438,-253.059,um,Surface,Ellipsoid Axis B,2,1000224535,224652,
81.8152,-971.717,221.523,um,Surface,Ellipsoid Axis B,2,1000224533,224653,
33.3067,-590.555,806.31,um,Surface,Ellipsoid Axis B,2,1000224538,224654,
867.197,497.414,23.4188,um,Surface,Ellipsoid Axis B,2,1000224537,224655,
204.445,59.6822,977.057,um,Surface,Ellipsoid Axis B,2,1000224539,224656,
84.3748,-361.558,928.524,um,Surface,Ellipsoid Axis B,2,1000224541,224657,
29.6335,-998.213,51.8815,um,Surface,Ellipsoid Axis B,2,1000224536,224658,
-557.084,279.917,-781.859,um,Surface,Ellipsoid Axis B,2,1000224542,224659,
-679.832,-202.567,704.836,um,Surface,Ellipsoid Axis B,2,1000224543,224660,
-776.002,-462.759,428.574,um,Surface,Ellipsoid Axis B,2,1000224540,224661,
0,-606.83,794.831,um,Surface,Ellipsoid Axis B,2,1000224548,224662,
-57.3713,-756.862,651.051,um,Surface,Ellipsoid Axis B,2,1000224545,224663,
287.85,-844.091,452.385,um,Surface,Ellipsoid Axis B,2,1000224546,224664,
292.89,953.279,73.9922,um,Surface,Ellipsoid Axis B,2,1000224552,224665,
798.371,591.062,-115.107,um,Surface,Ellipsoid Axis B,2,1000224547,224666,
-121.983,-987.525,-99.571,um,Surface,Ellipsoid Axis B,2,1000224549,224667,
208.164,-537.556,817.13,um,Surface,Ellipsoid Axis B,2,1000224544,224668,
-234.596,970.264,59.6012,um,Surface,Ellipsoid Axis B,2,1000224550,224669,
707.102,-707.112,0.000456831,um,Surface,Ellipsoid Axis B,2,1000224551,224670,
66.8575,-822.739,564.474,um,Surface,Ellipsoid Axis B,2,1000224553,224671,
-106.11,-618.261,778.777,um,Surface,Ellipsoid Axis B,2,1000224558,224672,
192.08,-289.778,-937.621,um,Surface,Ellipsoid Axis B,2,1000224554,224673,
707.096,-707.117,0.00452459,um,Surface,Ellipsoid Axis B,2,1000224674,224674,
893.452,-388.786,-224.919,um,Surface,Ellipsoid Axis B,2,1000224557,224675,
-107.493,-863.003,493.63,um,Surface,Ellipsoid Axis B,2,1000224555,224676,
-27.2014,-288.93,956.964,um,Surface,Ellipsoid Axis B,2,1000224563,224677,
706.573,-604.736,-367.491,um,Surface,Ellipsoid Axis B,2,1000224559,224678,
50.0402,998.745,-1.91833,um,Surface,Ellipsoid Axis B,2,1000224556,224679,
2.1901,-580.332,814.377,um,Surface,Ellipsoid Axis B,2,1000224561,224680,
661.141,-383.831,644.644,um,Surface,Ellipsoid Axis B,2,1000224560,224681,
149.722,952.461,-265.333,um,Surface,Ellipsoid Axis B,2,1000224562,224682,
-298.542,-793.874,-529.751,um,Surface,Ellipsoid Axis B,2,1000224565,224683,
5.42805,-497.891,-867.223,um,Surface,Ellipsoid Axis B,2,1000224564,224684,
103.07,916.768,-385.892,um,Surface,Ellipsoid Axis B,2,1000224566,224685,
-39.8896,-928.178,369.994,um,Surface,Ellipsoid Axis B,2,1000224567,224686,
989.245,145.453,-15.443,um,Surface,Ellipsoid Axis B,2,1000224569,224687,
502.483,862.012,-66.6737,um,Surface,Ellipsoid Axis B,2,1000224570,224688,
-191.937,-339.727,920.731,um,Surface,Ellipsoid Axis B,2,1000224571,224689,
-327.364,-842.254,428.301,um,Surface,Ellipsoid Axis B,2,1000224572,224690,
-993.507,1.42657e-13,113.775,um,Surface,Ellipsoid Axis B,2,1000224573,224691,
-321.461,216.501,-921.841,um,Surface,Ellipsoid Axis B,2,1000224568,224692,
3.62709e-05,-1000,-1.33582e-12,um,Surface,Ellipsoid Axis B,2,1000224693,224693,
-7.35846e-12,-1000,0.0390764,um,Surface,Ellipsoid Axis B,2,1000224574,224694,
-630.979,-654.783,416.082,um,Surface,Ellipsoid Axis B,2,1000224575,224695,
96.3194,-989.113,111.261,um,Surface,Ellipsoid Axis B,3,1000224470,224696,
363.597,931.473,-12.4649,um,Surface,Ellipsoid Axis B,3,1000224464,224697,
-305.207,-935.965,-175.551,um,Surface,Ellipsoid Axis B,3,1000224465,224698,
50.397,-990.474,-128.146,um,Surface,Ellipsoid Axis B,3,1000224466,224699,
-201.883,-970.88,128.975,um,Surface,Ellipsoid Axis B,3,1000224467,224700,
793.498,561.263,235.253,um,Surface,Ellipsoid Axis B,3,1000224701,224701,
488.689,-864.315,-118.924,um,Surface,Ellipsoid Axis B,3,1000224458,224702,
-117.032,-65.1632,990.988,um,Surface,Ellipsoid Axis B,3,1000224459,224703,
783.349,582.527,-216.856,um,Surface,Ellipsoid Axis B,3,1000224461,224704,
-194.956,-557.921,806.67,um,Surface,Ellipsoid Axis B,3,1000224460,224705,
479.66,-832.814,-276.308,um,Surface,Ellipsoid Axis B,3,1000224462,224706,
-39.9517,856.716,514.239,um,Surface,Ellipsoid Axis B,3,1000224463,224707,
-158.208,-888.618,-430.498,um,Surface,Ellipsoid Axis B,3,1000224473,224708,
-136.44,-402.2,-905.328,um,Surface,Ellipsoid Axis B,3,1000224469,224709,
827.82,217.751,-517.009,um,Surface,Ellipsoid Axis B,3,1000224468,224710,
989.188,139.061,-46.5856,um,Surface,Ellipsoid Axis B,3,1000224477,224711,
51.333,-976.739,-208.199,um,Surface,Ellipsoid Axis B,3,1000224472,224712,
888.456,-457.523,-36.328,um,Surface,Ellipsoid Axis B,3,1000224471,224713,
-511.539,43.2701,-858.17,um,Surface,Ellipsoid Axis B,3,1000224474,224714,
209.411,899.027,-384.575,um,Surface,Ellipsoid Axis B,3,1000224475,224715,
928.998,364.339,64.9554,um,Surface,Ellipsoid Axis B,3,1000224479,224716,
365.66,-822.198,-436.214,um,Surface,Ellipsoid Axis B,3,1000224480,224717,
797.206,315.73,-514.565,um,Surface,Ellipsoid Axis B,3,1000224476,224718,
776.626,-390.167,-494.592,um,Surface,Ellipsoid Axis B,3,1000224484,224719,
-73.4644,-916.411,-393.439,um,Surface,Ellipsoid Axis B,3,1000224478,224720,
-474.341,-805.333,355.583,um,Surface,Ellipsoid Axis B,3,1000224486,224721,
233.6,-884.806,403.175,um,Surface,Ellipsoid Axis B,3,1000224482,224722,
965.936,68.4332,-249.57,um,Surface,Ellipsoid Axis B,3,1000224483,224723,
812.317,576.229,90.0043,um,Surface,Ellipsoid Axis B,3,1000224488,224724,
-134.985,-958.721,250.268,um,Surface,Ellipsoid Axis B,3,1000224485,224725,
-81.5089,201.174,-976.158,um,Surface,Ellipsoid Axis B,3,1000224481,224726,
