
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,TrackID,ID,
27.7436,-85.8263,995.924,um,Surface,Ellipsoid Axis C,2,1000224552,224665,
-56.1133,263.347,963.068,um,Surface,Ellipsoid Axis C,2,1000224547,224666,
-247.927,-66.8233,966.471,um,Surface,Ellipsoid Axis C,2,1000224549,224667,
-322.01,751.193,576.211,um,Surface,Ellipsoid Axis C,2,1000224544,224668,
72.6203,-43.6484,996.404,um,Surface,Ellipsoid Axis C,2,1000224550,224669,
44.0715,44.0716,998.056,um,Surface,Ellipsoid Axis C,2,1000224551,224670,
-26.407,564.083,825.296,um,Surface,Ellipsoid Axis C,2,1000224553,224671,
57.369,778.088,625.531,um,Surface,Ellipsoid Axis C,2,1000224558,224672,
477.448,862.314,-168.694,um,Surface,Ellipsoid Axis C,2,1000224554,224673,
191.253,191.254,962.727,um,Surface,Ellipsoid Axis C,2,1000224674,224674,
101.199,-313.635,944.136,um,Surface,Ellipsoid Axis C,2,1000224557,224675,
174.693,472.387,863.906,um,Surface,Ellipsoid Axis C,2,1000224555,224676,
45.0004,-956.701,-287.572,um,Surface,Ellipsoid Axis C,2,1000224563,224677,
583.448,203.987,786.116,um,Surface,Ellipsoid Axis C,2,1000224559,224678,
-114.556,7.64767,993.387,um,Surface,Ellipsoid Axis C,2,1000224556,224679,
308.895,774.945,551.402,um,Surface,Ellipsoid Axis C,2,1000224561,224680,
-727.681,-118.843,675.542,um,Surface,Ellipsoid Axis C,2,1000224560,224681,
26.2936,-272.099,-961.91,um,Surface,Ellipsoid Axis C,2,1000224562,224682,
936.548,-350.532,-2.49374,um,Surface,Ellipsoid Axis C,2,1000224565,224683,
-9.29366,-867.223,497.833,um,Surface,Ellipsoid Axis C,2,1000224564,224684,
-227.914,399.404,887.993,um,Surface,Ellipsoid Axis C,2,1000224566,224685,
-24.3089,371.08,928.283,um,Surface,Ellipsoid Axis C,2,1000224567,224686,
9.85804,39.0397,999.189,um,Surface,Ellipsoid Axis C,2,1000224569,224687,
-29.0575,93.9102,995.157,um,Surface,Ellipsoid Axis C,2,1000224570,224688,
14.0348,937.128,348.703,um,Surface,Ellipsoid Axis C,2,1000224571,224689,
260.584,355.227,897.725,um,Surface,Ellipsoid Axis C,2,1000224572,224690,
113.775,6.88128e-13,993.507,um,Surface,Ellipsoid Axis C,2,1000224573,224691,
164.395,-945.969,-279.495,um,Surface,Ellipsoid Axis C,2,1000224568,224692,
-2.56478e-10,-1.33583e-12,1000,um,Surface,Ellipsoid Axis C,2,1000224693,224693,
-1.47115e-11,0.0390764,1000,um,Surface,Ellipsoid Axis C,2,1000224574,224694,
160.098,414.882,895.679,um,Surface,Ellipsoid Axis C,2,1000224575,224695,
25.9344,114.236,993.115,um,Surface,Ellipsoid Axis C,3,1000224470,224696,
-47.3266,31.8339,998.372,um,Surface,Ellipsoid Axis C,3,1000224464,224697,
-74.7944,-160.217,984.244,um,Surface,Ellipsoid Axis C,3,1000224465,224698,
-7.75471,-128.693,991.654,um,Surface,Ellipsoid Axis C,3,1000224466,224699,
85.9506,113.616,989.8,um,Surface,Ellipsoid Axis C,3,1000224467,224700,
608.004,-747.833,-266.602,um,Surface,Ellipsoid Axis C,3,1000224701,224701,
165.496,-42.0002,985.316,um,Surface,Ellipsoid Axis C,3,1000224458,224702,
-844.38,-518.76,-133.83,um,Surface,Ellipsoid Axis C,3,1000224459,224703,
296.587,-43.6868,954.006,um,Surface,Ellipsoid Axis C,3,1000224461,224704,
506.55,647,569.911,um,Surface,Ellipsoid Axis C,3,1000224460,224705,
-28.4497,-329.493,943.729,um,Surface,Ellipsoid Axis C,3,1000224462,224706,
980.14,133.646,-146.504,um,Surface,Ellipsoid Axis C,3,1000224463,224707,
-10.3547,-434.472,900.626,um,Surface,Ellipsoid Axis C,3,1000224473,224708,
-93.5361,-904.562,415.956,um,Surface,Ellipsoid Axis C,3,1000224469,224709,
560.913,-305.73,769.354,um,Surface,Ellipsoid Axis C,3,1000224468,224710,
-120.753,592.018,-796.827,um,Surface,Ellipsoid Axis C,3,1000224477,224711,
144.585,-199.009,969.273,um,Surface,Ellipsoid Axis C,3,1000224472,224712,
151.075,216.79,964.458,um,Surface,Ellipsoid Axis C,3,1000224471,224713,
-833.172,-269.21,483.064,um,Surface,Ellipsoid Axis C,3,1000224474,224714,
-190.974,423.324,885.622,um,Surface,Ellipsoid Axis C,3,1000224475,224715,
93.7746,-401.53,911.032,um,Surface,Ellipsoid Axis C,3,1000224479,224716,
246.55,-366.364,897.213,um,Surface,Ellipsoid Axis C,3,1000224480,224717,
237.737,619.286,748.308,um,Surface,Ellipsoid Axis C,3,1000224476,224718,
297.853,-464.39,834.042,um,Surface,Ellipsoid Axis C,3,1000224484,224719,
-90.8017,-386.72,917.716,um,Surface,Ellipsoid Axis C,3,1000224478,224720,
576.984,20.6675,816.494,um,Surface,Ellipsoid Axis C,3,1000224486,224721,
255.563,455.94,852.53,um,Surface,Ellipsoid Axis C,3,1000224482,224722,
255.485,-98.7219,961.76,um,Surface,Ellipsoid Axis C,3,1000224483,224723,
224.989,-451.995,863.18,um,Surface,Ellipsoid Axis C,3,1000224488,224724,
15.3956,250.519,967.989,um,Surface,Ellipsoid Axis C,3,1000224485,224725,
-261.928,-949.314,-173.771,um,Surface,Ellipsoid Axis C,3,1000224481,224726,
-281.536,-245.553,927.6,um,Surface,Ellipsoid Axis C,3,1000224490,224727,
600.489,739.833,-303.414,um,Surface,Ellipsoid Axis C,3,1000224487,224728,
-14.0538,-101.745,994.711,um,Surface,Ellipsoid Axis C,3,1000224491,224729,
343.87,126.062,930.517,um,Surface,Ellipsoid Axis C,3,1000224489,224730,
-40.7575,-941.888,333.445,um,Surface,Ellipsoid Axis C,3,1000224492,224731,
-793.825,-42.6164,606.651,um,Surface,Ellipsoid Axis C,3,1000224493,224732,
980.299,-169.727,-101.024,um,Surface,Ellipsoid Axis C,3,1000224496,224733,
137.363,-440.957,886.955,um,Surface,Ellipsoid Axis C,3,1000224494,224734,
-101.997,-741.616,663.025,um,Surface,Ellipsoid Axis C,3,1000224500,224735,
-837.024,-318.737,444.745,um,Surface,Ellipsoid Axis C,3,1000224499,224736,
15.9555,273.647,961.698,um,Surface,Ellipsoid Axis C,3,1000224502,224737,
31.4774,-200.104,979.269,um,Surface,Ellipsoid Axis C,3,1000224497,224738,
471.362,217.922,854.592,um,Surface,Ellipsoid Axis C,3,1000224495,224739,
88.4618,30.5918,995.61,um,Surface,Ellipsoid Axis C,3,1000224506,224740,
69.6037,-958.016,-278.137,um,Surface,Ellipsoid Axis C,3,1000224501,224741,
-181.853,-78.4265,980.193,um,Surface,Ellipsoid Axis C,3,1000224498,224742,
209.708,-541.482,-814.137,um,Surface,Ellipsoid Axis C,3,1000224503,224743,
20.6032,-296.751,-954.733,um,Surface,Ellipsoid Axis C,3,1000224504,224744,
-313.367,-923.47,221.37,um,Surface,Ellipsoid Axis C,3,1000224505,224745,
-550.754,217.886,805.727,um,Surface,Ellipsoid Axis C,3,1000224509,224746,
-536.271,650.889,537.36,um,Surface,Ellipsoid Axis C,3,1000224508,224747,
59.6755,106.169,992.556,um,Surface,Ellipsoid Axis C,3,1000224511,224748,
-393.525,-917.239,61.7319,um,Surface,Ellipsoid Axis C,3,1000224515,224749,
627.149,-228.197,-744.722,um,Surface,Ellipsoid Axis C,3,1000224512,224750,
-30.6859,-308.52,950.723,um,Surface,Ellipsoid Axis C,3,1000224507,224751,
33.0386,266.874,963.165,um,Surface,Ellipsoid Axis C,3,1000224519,224752,
-17.9076,50.7033,998.553,um,Surface,Ellipsoid Axis C,3,1000224514,224753,
341.97,-215.409,914.689,um,Surface,Ellipsoid Axis C,3,1000224510,224754,
521.842,736.617,430.204,um,Surface,Ellipsoid Axis C,3,1000224517,224755,
-116.008,757,643.034,um,Surface,Ellipsoid Axis C,3,1000224513,224756,
120.234,572.339,811.155,um,Surface,Ellipsoid Axis C,3,1000224520,224757,
83.1715,598.168,797.043,um,Surface,Ellipsoid Axis C,3,1000224522,224758,
-112.881,801.592,587.118,um,Surface,Ellipsoid Axis C,3,1000224516,224759,
-259.285,-566.614,782.125,um,Surface,Ellipsoid Axis C,3,1000224518,224760,
438.752,-396.637,806.335,um,Surface,Ellipsoid Axis C,3,1000224523,224761,
-3.07707e-05,7.82645e-06,1000,um,Surface,Ellipsoid Axis C,3,1000224524,224762,
403.894,-689.873,600.788,um,Surface,Ellipsoid Axis C,3,1000224521,224763,
-22.808,151.712,988.162,um,Surface,Ellipsoid Axis C,3,1000224525,224764,
794.632,-495.202,-351.191,um,Surface,Ellipsoid Axis C,3,1000224526,224765,
206.228,-120.416,971.066,um,Surface,Ellipsoid Axis C,3,1000224528,224766,
149.465,-285.368,946.692,um,Surface,Ellipsoid Axis C,3,1000224527,224767,
-598.026,-798.234,-72.0219,um,Surface,Ellipsoid Axis C,3,1000224531,224768,
0.272225,-906.529,422.144,um,Surface,Ellipsoid Axis C,3,1000224530,224769,
-1.28003e-08,-910.224,-414.117,um,Surface,Ellipsoid Axis C,3,1000224532,224770,
217.805,-307.339,926.339,um,Surface,Ellipsoid Axis C,3,1000224771,224771,
-51.4954,-140.122,988.794,um,Surface,Ellipsoid Axis C,3,1000224534,224772,
-167.776,427.473,888.323,um,Surface,Ellipsoid Axis C,3,1000224529,224773,
-13.0997,-204.107,978.861,um,Surface,Ellipsoid Axis C,3,1000224535,224774,
382.974,-77.723,920.484,um,Surface,Ellipsoid Axis C,3,1000224533,224775,
