
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
12.0452,um,Surface,72,1000225699,235817,
12.7579,um,Surface,72,1000224530,235818,
1.82418,um,Surface,72,1000226120,235819,
1.72705,um,Surface,72,1000224534,235820,
2.30178,um,Surface,72,1000226406,235821,
0.546676,um,Surface,72,1000224538,235822,
3.38713,um,Surface,72,1000224905,235823,
3.37442,um,Surface,72,1000224537,235824,
1.82304,um,Surface,72,1000234804,235825,
3.95548,um,Surface,72,1000224536,235826,
3.35663,um,Surface,72,1000225028,235827,
1.65024,um,Surface,72,1000224540,235828,
2.76791,um,Surface,72,1000224541,235829,
3.90965,um,Surface,72,1000224539,235830,
1.05975,um,Surface,72,1000224549,235831,
1.84754,um,Surface,72,1000224544,235832,
0.590156,um,Surface,72,1000224550,235833,
2.89083,um,Surface,72,1000224548,235834,
1.82535,um,Surface,72,1000235321,235835,
2.07853,um,Surface,72,1000224546,235836,
1.94141,um,Surface,72,1000224543,235837,
2.31781,um,Surface,72,1000224552,235838,
4.79939,um,Surface,72,1000234294,235839,
2.62516,um,Surface,72,1000224547,235840,
3.97321,um,Surface,72,1000224798,235841,
2.19861,um,Surface,72,1000225444,235842,
1.41557,um,Surface,72,1000224555,235843,
2.43395,um,Surface,72,1000226574,235844,
3.02212,um,Surface,72,1000229407,235845,
4.34808,um,Surface,72,1000224542,235846,
2.20157,um,Surface,72,1000224551,235847,
4.39719,um,Surface,72,1000224554,235848,
0.982099,um,Surface,72,1000224562,235849,
1.39451,um,Surface,72,1000224557,235850,
0.468784,um,Surface,72,1000224558,235851,
1.59843,um,Surface,72,1000224556,235852,
1.37543,um,Surface,72,1000224805,235853,
1.76409,um,Surface,72,1000224802,235854,
1.20695,um,Surface,72,1000224563,235855,
1.58559,um,Surface,72,1000224561,235856,
2.69305,um,Surface,72,1000224570,235857,
1.81391,um,Surface,72,1000224565,235858,
1.70375,um,Surface,72,1000224567,235859,
1.84182,um,Surface,72,1000224566,235860,
2.47532,um,Surface,72,1000224560,235861,
0.713001,um,Surface,72,1000224559,235862,
1.09726,um,Surface,72,1000226740,235863,
0.893887,um,Surface,72,1000224564,235864,
0.219544,um,Surface,72,1000224569,235865,
4.28438,um,Surface,72,1000224814,235866,
0.940765,um,Surface,72,1000224568,235867,
0.408268,um,Surface,72,1000232264,235868,
3.7076,um,Surface,72,1000224571,235869,
2.40672,um,Surface,72,1000224572,235870,
0.725044,um,Surface,72,1000224573,235871,
6.25738,um,Surface,72,1000224940,235872,
7.04108,um,Surface,72,1000225475,235873,
0.552035,um,Surface,72,1000227057,235874,
1.61973,um,Surface,72,1000227515,235875,
1.94515,um,Surface,72,1000224574,235876,
0.899979,um,Surface,72,1000229769,235877,
1.12605,um,Surface,72,1000234508,235878,
3.94232,um,Surface,72,1000224575,235879,
4.4957,um,Surface,72,1000224693,235880,
0.723444,um,Surface,73,1000224473,235881,
2.63846,um,Surface,73,1000224701,235882,
1.67948,um,Surface,73,1000225210,235883,
1.6845,um,Surface,73,1000228485,235884,
0.471166,um,Surface,73,1000226759,235885,
1.75041,um,Surface,73,1000224468,235886,
2.75076,um,Surface,73,1000224464,235887,
9.48892,um,Surface,73,1000224458,235888,
1.1033,um,Surface,73,1000224469,235889,
2.82476,um,Surface,73,1000224467,235890,
3.99255,um,Surface,73,1000224470,235891,
2.78979,um,Surface,73,1000224466,235892,
0.686956,um,Surface,73,1000224465,235893,
1.71401,um,Surface,73,1000224459,235894,
3.26365,um,Surface,73,1000224463,235895,
0.283607,um,Surface,73,1000224461,235896,
1.83503,um,Surface,73,1000224460,235897,
2.82123,um,Surface,73,1000224462,235898,
3.23743,um,Surface,73,1000228809,235899,
4.03802,um,Surface,73,1000227528,235900,
7.32498,um,Surface,73,1000225091,235901,
1.55622,um,Surface,73,1000224472,235902,
1.44151,um,Surface,73,1000224478,235903,
