
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,TrackID,ID,
0.387656,,Surface,301,1000224546,266961,
0.522699,,Surface,301,1000234804,266962,
0.491305,,Surface,301,1000260596,266963,
0.352461,,Surface,301,1000248563,266964,
0.398809,,Surface,301,1000224566,266965,
0.486498,,Surface,301,1000224550,266966,
0.54098,,Surface,301,1000240279,266967,
0.212819,,Surface,301,1000252809,266968,
0.422022,,Surface,301,1000248583,266969,
0.602855,,Surface,301,1000257664,266970,
0.28771,,Surface,301,1000252058,266971,
0.127425,,Surface,301,1000263717,266972,
0.136057,,Surface,301,1000261272,266973,
0.347975,,Surface,301,1000263339,266974,
0.614701,,Surface,301,1000262231,266975,
0.4102,,Surface,301,1000263155,266976,
0.376836,,Surface,301,1000224560,266977,
0.391991,,Surface,301,1000260069,266978,
0.415857,,Surface,301,1000224559,266979,
0.459524,,Surface,301,1000255599,266980,
0.410276,,Surface,301,1000224568,266981,
0.601335,,Surface,301,1000224940,266982,
0.365091,,Surface,301,1000247113,266983,
0.281821,,Surface,301,1000250231,266984,
0.100091,,Surface,301,1000248436,266985,
0.341238,,Surface,301,1000248444,266986,
0.393081,,Surface,302,1000259637,266987,
0.344681,,Surface,302,1000241014,266988,
0.430677,,Surface,302,1000224473,266989,
0.604931,,Surface,302,1000260758,266990,
0.679728,,Surface,302,1000228485,266991,
0.377033,,Surface,302,1000257942,266992,
0.467457,,Surface,302,1000262358,266993,
0.378616,,Surface,302,1000226759,266994,
0.428732,,Surface,302,1000258922,266995,
0.191319,,Surface,302,1000224463,266996,
0.479894,,Surface,302,1000266437,266997,
0.418424,,Surface,302,1000260645,266998,
0.563471,,Surface,302,1000224474,266999,
0.163066,,Surface,302,1000225621,267000,
0.310459,,Surface,302,1000265682,267001,
0.21026,,Surface,302,1000257204,267002,
0.302509,,Surface,302,1000243967,267003,
0.42432,,Surface,302,1000238432,267004,
0.570128,,Surface,302,1000239472,267005,
0.532851,,Surface,302,1000264618,267006,
0.478728,,Surface,302,1000224486,267007,
0.345728,,Surface,302,1000241906,267008,
0.203073,,Surface,302,1000234024,267009,
0.493664,,Surface,302,1000266765,267010,
0.478387,,Surface,302,1000261954,267011,
0.467382,,Surface,302,1000254226,267012,
0.338623,,Surface,302,1000253792,267013,
0.333743,,Surface,302,1000243664,267014,
0.435904,,Surface,302,1000264536,267015,
0.277171,,Surface,302,1000226074,267016,
0.450807,,Surface,302,1000263392,267017,
0.306504,,Surface,302,1000228532,267018,
0.44765,,Surface,302,1000224505,267019,
0.5902,,Surface,302,1000226515,267020,
0.75864,,Surface,302,1000224512,267021,
0.483925,,Surface,302,1000266698,267022,
0.135302,,Surface,302,1000224507,267023,
0.512918,,Surface,302,1000251530,267024,
0.216264,,Surface,302,1000234078,267025,
0.551868,,Surface,302,1000260805,267026,
0.253661,,Surface,302,1000264276,267027,
0.534002,,Surface,302,1000224525,267028,
0.271565,,Surface,302,1000224533,267029,
0.310756,,Surface,302,1000250170,267030,
0.500064,,Surface,302,1000224543,267031,
0.490558,,Surface,302,1000238489,267032,
0.434581,,Surface,302,1000224534,267033,
0.440756,,Surface,302,1000226406,267034,
0.208621,,Surface,302,1000258389,267035,
0.599299,,Surface,302,1000225028,267036,
0.334347,,Surface,302,1000224535,267037,
0.330026,,Surface,302,1000224540,267038,
0.351786,,Surface,302,1000261378,267039,
0.415626,,Surface,302,1000260596,267040,
0.658172,,Surface,302,1000224566,267041,
0.232159,,Surface,302,1000238387,267042,
0.274554,,Surface,302,1000224550,267043,
0.187616,,Surface,302,1000252809,267044,
0.249906,,Surface,302,1000252058,267045,
0.398294,,Surface,302,1000263717,267046,
0.352297,,Surface,302,1000263339,267047,
0.235446,,Surface,302,1000261272,267048,
0.315537,,Surface,302,1000248583,267049,
0.590217,,Surface,302,1000263155,267050,
0.15936,,Surface,302,1000224560,267051,
0.515174,,Surface,302,1000260069,267052,
0.46745,,Surface,302,1000262231,267053,
0.100466,,Surface,302,1000224568,267054,
0.435988,,Surface,302,1000224940,267055,
0.37482,,Surface,302,1000255599,267056,
0.467448,,Surface,302,1000259847,267057,
0.314264,,Surface,302,1000247113,267058,
0.67974,,Surface,302,1000250231,267059,
0.167233,,Surface,302,1000248436,267060,
0.330947,,Surface,302,1000248444,267061,
0.562224,,Surface,303,1000260645,267062,
0.374477,,Surface,303,1000224463,267063,
0.253691,,Surface,303,1000266437,267064,
0.462748,,Surface,303,1000262358,267065,
0.624852,,Surface,303,1000226759,267066,
0.266009,,Surface,303,1000258922,267067,
0.438948,,Surface,303,1000228485,267068,
0.438993,,Surface,303,1000260758,267069,
0.434777,,Surface,303,1000241014,267070,
0.371439,,Surface,303,1000243967,267071,
0.52157,,Surface,303,1000224474,267072,
0.226882,,Surface,303,1000225621,267073,
0.364858,,Surface,303,1000259637,267074,
0.512874,,Surface,303,1000224473,267075,
0.423594,,Surface,303,1000266920,267076,
0.435698,,Surface,303,1000257204,267077,
0.482354,,Surface,303,1000265682,267078,
0.264572,,Surface,303,1000238432,267079,
0.204536,,Surface,303,1000264618,267080,
0.345521,,Surface,303,1000239472,267081,
0.373587,,Surface,303,1000227400,267082,
0.343625,,Surface,303,1000266761,267083,
0.210324,,Surface,303,1000234024,267084,
0.205551,,Surface,303,1000266765,267085,
0.47438,,Surface,303,1000261954,267086,
0.436931,,Surface,303,1000253792,267087,
0.315642,,Surface,303,1000260331,267088,
0.614698,,Surface,303,1000254226,267089,
0.253332,,Surface,303,1000263392,267090,
0.553778,,Surface,303,1000256074,267091,
0.402962,,Surface,303,1000228532,267092,
0.219698,,Surface,303,1000224505,267093,
0.464026,,Surface,303,1000226074,267094,
0.590956,,Surface,303,1000264536,267095,
0.490076,,Surface,303,1000226515,267096,
0.472274,,Surface,303,1000251530,267097,
0.332205,,Surface,303,1000266698,267098,
0.548194,,Surface,303,1000224512,267099,
0.127462,,Surface,303,1000234078,267100,
0.555656,,Surface,303,1000260805,267101,
0.263524,,Surface,303,1000224507,267102,
0.347159,,Surface,303,1000250170,267103,
0.462715,,Surface,303,1000264276,267104,
0.554685,,Surface,303,1000238489,267105,
0.422659,,Surface,303,1000224525,267106,
0.264919,,Surface,303,1000224533,267107,
0.590209,,Surface,303,1000224534,267108,
0.411717,,Surface,303,1000224543,267109,
0.302317,,Surface,303,1000258389,267110,
0.52758,,Surface,303,1000258251,267111,
0.241134,,Surface,303,1000224535,267112,
0.542337,,Surface,303,1000226406,267113,
0.405332,,Surface,303,1000225028,267114,
0.39576,,Surface,303,1000261378,267115,
0.168919,,Surface,303,1000224539,267116,
0.23082,,Surface,303,1000224546,267117,
0.243074,,Surface,303,1000224540,267118,
0.526189,,Surface,303,1000248563,267119,
0.402503,,Surface,303,1000260596,267120,
0.500988,,Surface,303,1000234804,267121,
0.458367,,Surface,303,1000224566,267122,
0.764297,,Surface,303,1000238387,267123,
0.398825,,Surface,303,1000224550,267124,
0.207588,,Surface,303,1000252809,267125,
0.495547,,Surface,303,1000257664,267126,
0.207613,,Surface,303,1000261272,267127,
0.419571,,Surface,303,1000248583,267128,
0.230179,,Surface,303,1000263717,267129,
0.197169,,Surface,303,1000252058,267130,
0.332763,,Surface,303,1000263155,267131,
0.329101,,Surface,303,1000263339,267132,
0.14396,,Surface,303,1000224560,267133,
0.392406,,Surface,303,1000262231,267134,
0.301077,,Surface,303,1000224940,267135,
0.345278,,Surface,303,1000255599,267136,
0.450885,,Surface,303,1000224559,267137,
0.309231,,Surface,303,1000247113,267138,
0.292903,,Surface,303,1000224568,267139,
0.366026,,Surface,303,1000250231,267140,
0.137442,,Surface,303,1000248436,267141,
0.41552,,Surface,303,1000248444,267142,
0.385132,,Surface,304,1000241014,267143,
0.383923,,Surface,304,1000224473,267144,
0.529947,,Surface,304,1000260758,267145,
0.185403,,Surface,304,1000228485,267146,
0.453786,,Surface,304,1000262358,267147,
0.368798,,Surface,304,1000258922,267148,
0.229115,,Surface,304,1000224463,267149,
0.338253,,Surface,304,1000260645,267150,
0.543191,,Surface,304,1000224474,267151,
0.339254,,Surface,304,1000225621,267152,
0.312323,,Surface,304,1000259637,267153,
0.250523,,Surface,304,1000265682,267154,
0.201455,,Surface,304,1000243967,267155,
0.381126,,Surface,304,1000264618,267156,
0.563151,,Surface,304,1000257204,267157,
0.408749,,Surface,304,1000238432,267158,
0.395412,,Surface,304,1000239472,267159,
0.70716,,Surface,304,1000234024,267160,
0.411717,,Surface,304,1000264627,267161,
0.287713,,Surface,304,1000241906,267162,
0.394096,,Surface,304,1000266765,267163,
0.458466,,Surface,304,1000261954,267164,
0.409296,,Surface,304,1000253792,267165,
0.392403,,Surface,304,1000254226,267166,
0.579223,,Surface,304,1000256074,267167,
0.620129,,Surface,304,1000264536,267168,
0.300565,,Surface,304,1000263392,267169,
0.391694,,Surface,304,1000226074,267170,
0.325373,,Surface,304,1000228532,267171,
0.269616,,Surface,304,1000224505,267172,
0.415402,,Surface,304,1000251530,267173,
0.358533,,Surface,304,1000224512,267174,
0.487024,,Surface,304,1000226515,267175,
0.393997,,Surface,304,1000260805,267176,
0.327975,,Surface,304,1000266698,267177,
0.144197,,Surface,304,1000224507,267178,
0.307952,,Surface,304,1000264276,267179,
0.173997,,Surface,304,1000234078,267180,
0.404877,,Surface,304,1000224533,267181,
0.361317,,Surface,304,1000250170,267182,
0.2867,,Surface,304,1000238489,267183,
0.714925,,Surface,304,1000224525,267184,
0.294137,,Surface,304,1000224534,267185,
0.323574,,Surface,304,1000224543,267186,
0.458171,,Surface,304,1000258389,267187,
0.392923,,Surface,304,1000267188,267188,
0.366069,,Surface,304,1000225028,267189,
0.545754,,Surface,304,1000224535,267190,
0.565529,,Surface,304,1000226406,267191,
0.377093,,Surface,304,1000224540,267192,
0.630215,,Surface,304,1000224546,267193,
0.299167,,Surface,304,1000261378,267194,
0.282071,,Surface,304,1000234804,267195,
0.445028,,Surface,304,1000260596,267196,
0.392404,,Surface,304,1000238387,267197,
0.506208,,Surface,304,1000224550,267198,
0.315792,,Surface,304,1000257664,267199,
0.43284,,Surface,304,1000224566,267200,
0.268306,,Surface,304,1000252058,267201,
0.275397,,Surface,304,1000263717,267202,
0.356198,,Surface,304,1000240279,267203,
0.227805,,Surface,304,1000252809,267204,
0.516475,,Surface,304,1000224560,267205,
0.272605,,Surface,304,1000261272,267206,
0.392061,,Surface,304,1000263339,267207,
0.304724,,Surface,304,1000248583,267208,
0.501227,,Surface,304,1000263155,267209,
0.614701,,Surface,304,1000262231,267210,
0.315636,,Surface,304,1000224559,267211,
0.417033,,Surface,304,1000260069,267212,
0.492316,,Surface,304,1000255599,267213,
0.510487,,Surface,304,1000247113,267214,
0.334186,,Surface,304,1000224568,267215,
0.442846,,Surface,304,1000224940,267216,
0.0753421,,Surface,304,1000248436,267217,
0.197505,,Surface,304,1000259847,267218,
0.407508,,Surface,304,1000250231,267219,
0.377066,,Surface,305,1000243967,267220,
0.319182,,Surface,305,1000225621,267221,
0.260731,,Surface,305,1000224473,267222,
0.319355,,Surface,305,1000259637,267223,
0.297788,,Surface,305,1000241014,267224,
0.209221,,Surface,305,1000260758,267225,
0.467444,,Surface,305,1000228485,267226,
0.523992,,Surface,305,1000262358,267227,
0.35601,,Surface,305,1000226759,267228,
0.643828,,Surface,305,1000258922,267229,
0.334176,,Surface,305,1000224463,267230,
0.430802,,Surface,305,1000266437,267231,
0.523833,,Surface,305,1000260645,267232,
0.507089,,Surface,305,1000257204,267233,
0.51807,,Surface,305,1000265682,267234,
0.318211,,Surface,305,1000224474,267235,
0.323202,,Surface,305,1000264618,267236,
0.234159,,Surface,305,1000266920,267237,
0.499661,,Surface,305,1000238432,267238,
0.311327,,Surface,305,1000239472,267239,
0.75865,,Surface,305,1000234024,267240,
0.274968,,Surface,305,1000241906,267241,
0.262387,,Surface,305,1000227400,267242,
0.450304,,Surface,305,1000264627,267243,
0.208988,,Surface,305,1000261954,267244,
0.378064,,Surface,305,1000253792,267245,
0.282077,,Surface,305,1000260331,267246,
0.450511,,Surface,305,1000226074,267247,
0.282077,,Surface,305,1000264536,267248,
0.184897,,Surface,305,1000224505,267249,
0.198549,,Surface,305,1000263392,267250,
0.441132,,Surface,305,1000226515,267251,
0.373599,,Surface,305,1000228532,267252,
0.759309,,Surface,305,1000251530,267253,
0.353639,,Surface,305,1000224512,267254,
0.445354,,Surface,305,1000260805,267255,
0.329758,,Surface,305,1000224507,267256,
0.480685,,Surface,305,1000266698,267257,
0.143961,,Surface,305,1000234078,267258,
0.527191,,Surface,305,1000224525,267259,
0.242082,,Surface,305,1000250170,267260,
0.245434,,Surface,305,1000264276,267261,
0.325127,,Surface,305,1000238489,267262,
0.707168,,Surface,305,1000224533,267263,
0.527274,,Surface,305,1000224534,267264,
0.143706,,Surface,305,1000258251,267265,
0.436102,,Surface,305,1000258389,267266,
0.46085,,Surface,305,1000224543,267267,
0.423668,,Surface,305,1000267188,267268,
0.287699,,Surface,305,1000255008,267269,
0.281843,,Surface,305,1000224535,267270,
0.654531,,Surface,305,1000226406,267271,
0.758638,,Surface,305,1000225028,267272,
0.545313,,Surface,305,1000224540,267273,
0.315286,,Surface,305,1000224539,267274,
0.359652,,Surface,305,1000261378,267275,
0.462627,,Surface,305,1000260596,267276,
0.501721,,Surface,305,1000224546,267277,
0.608645,,Surface,305,1000234804,267278,
0.380947,,Surface,305,1000224550,267279,
0.373181,,Surface,305,1000224566,267280,
0.789962,,Surface,305,1000238387,267281,
0.315718,,Surface,305,1000263717,267282,
0.185756,,Surface,305,1000252809,267283,
0.334946,,Surface,305,1000240279,267284,
0.377596,,Surface,305,1000261272,267285,
0.470127,,Surface,305,1000263339,267286,
0.385896,,Surface,305,1000252058,267287,
0.479908,,Surface,305,1000263155,267288,
0.235938,,Surface,305,1000248583,267289,
0.360252,,Surface,305,1000260069,267290,
0.268383,,Surface,305,1000224559,267291,
0.529961,,Surface,305,1000262231,267292,
0.579238,,Surface,305,1000255599,267293,
0.458173,,Surface,305,1000259847,267294,
0.265648,,Surface,305,1000224568,267295,
0.362349,,Surface,305,1000224940,267296,
0.392886,,Surface,305,1000250231,267297,
0.12359,,Surface,305,1000248436,267298,
0.407512,,Surface,306,1000224473,267299,
0.461824,,Surface,306,1000260758,267300,
0.152276,,Surface,306,1000228485,267301,
0.588773,,Surface,306,1000257942,267302,
0.431767,,Surface,306,1000226759,267303,
0.503841,,Surface,306,1000262358,267304,
0.413173,,Surface,306,1000258922,267305,
0.397945,,Surface,306,1000224463,267306,
0.335351,,Surface,306,1000266437,267307,
0.231248,,Surface,306,1000260645,267308,
0.250088,,Surface,306,1000225621,267309,
0.34038,,Surface,306,1000259637,267310,
0.307337,,Surface,306,1000241014,267311,
0.36443,,Surface,306,1000265682,267312,
0.28977,,Surface,306,1000243967,267313,
0.189833,,Surface,306,1000266920,267314,
0.562825,,Surface,306,1000264618,267315,
0.467453,,Surface,306,1000227400,267316,
0.305058,,Surface,306,1000224486,267317,
0.522344,,Surface,306,1000239472,267318,
0.276062,,Surface,306,1000238432,267319,
