
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,TrackID,ID,
765.469,-626.935,144.947,um,Surface,Ellipsoid Axis A,3,1000224517,224755,
989.499,31.886,140.976,um,Surface,Ellipsoid Axis A,3,1000224513,224756,
990.314,-126.295,-57.6789,um,Surface,Ellipsoid Axis A,3,1000224520,224757,
994.132,5.71403,-108.026,um,Surface,Ellipsoid Axis A,3,1000224522,224758,
992.385,61.6367,106.647,um,Surface,Ellipsoid Axis A,3,1000224516,224759,
705.021,442.438,554.251,um,Surface,Ellipsoid Axis A,3,1000224518,224760,
574.957,813.512,87.3152,um,Surface,Ellipsoid Axis A,3,1000224523,224761,
33.2786,999.446,-6.79811e-06,um,Surface,Ellipsoid Axis A,3,1000224524,224762,
914.404,323.916,-242.783,um,Surface,Ellipsoid Axis A,3,1000224521,224763,
977.322,211.526,-9.91774,um,Surface,Ellipsoid Axis A,3,1000224525,224764,
-594.297,-752.656,-283.409,um,Surface,Ellipsoid Axis A,3,1000224526,224765,
440.685,897.487,17.7023,um,Surface,Ellipsoid Axis A,3,1000224528,224766,
961.362,265.797,-71.6603,um,Surface,Ellipsoid Axis A,3,1000224527,224767,
757.659,-533.739,-375.599,um,Surface,Ellipsoid Axis A,3,1000224531,224768,
999.999,-0.355401,-1.40806,um,Surface,Ellipsoid Axis A,3,1000224530,224769,
1000,-1.48301e-08,1.68662e-09,um,Surface,Ellipsoid Axis A,3,1000224532,224770,
-950.479,148.805,272.851,um,Surface,Ellipsoid Axis A,3,1000224771,224771,
-917.639,-384.045,-102.213,um,Surface,Ellipsoid Axis A,3,1000224534,224772,
