
Area
 ==================== 
Area,Unit,Category,Time,ID,
2361.64,um^2,Surface,18,75787,
3973.14,um^2,Surface,18,75788,
19823,um^2,Surface,18,75789,
11187.3,um^2,Surface,18,75790,
5779.1,um^2,Surface,18,75791,
8929.68,um^2,Surface,18,75792,
11224.6,um^2,Surface,18,75793,
1112.92,um^2,Surface,18,75794,
7373.88,um^2,Surface,18,75795,
21695.7,um^2,Surface,18,75796,
1868.96,um^2,Surface,19,75797,
3264.7,um^2,Surface,19,75798,
1611.9,um^2,Surface,19,75799,
7506.31,um^2,Surface,19,75800,
9023.56,um^2,Surface,19,75801,
7000.43,um^2,Surface,19,75802,
4605.41,um^2,Surface,19,75803,
1584.5,um^2,Surface,19,75804,
10557,um^2,Surface,19,75805,
5818.99,um^2,Surface,19,75806,
10147.1,um^2,Surface,19,75807,
1194.72,um^2,Surface,19,75808,
7265.53,um^2,Surface,19,75809,
8119.29,um^2,Surface,19,75810,
7307.39,um^2,Surface,19,75811,
5882.63,um^2,Surface,19,75812,
11155,um^2,Surface,19,75813,
4983.09,um^2,Surface,19,75814,
9787.5,um^2,Surface,19,75815,
2375.97,um^2,Surface,19,75816,
9945.04,um^2,Surface,19,75817,
3268.96,um^2,Surface,19,75818,
5322.49,um^2,Surface,19,75819,
4420.08,um^2,Surface,19,75820,
1204.03,um^2,Surface,19,75821,
2353.89,um^2,Surface,19,75822,
4035.39,um^2,Surface,19,75823,
19871.8,um^2,Surface,19,75824,
11319.3,um^2,Surface,19,75825,
5858.62,um^2,Surface,19,75826,
9058.56,um^2,Surface,19,75827,
11378.6,um^2,Surface,19,75828,
6726.52,um^2,Surface,19,75829,
22849.5,um^2,Surface,19,75830,
1061.47,um^2,Surface,19,75831,
7614.11,um^2,Surface,20,75832,
773.865,um^2,Surface,20,75833,
9030.43,um^2,Surface,20,75834,
6714.13,um^2,Surface,20,75835,
4459.86,um^2,Surface,20,75836,
2064.48,um^2,Surface,20,75837,
1768.81,um^2,Surface,20,75838,
1602.56,um^2,Surface,20,75839,
2178.51,um^2,Surface,20,75840,
10670.5,um^2,Surface,20,75841,
6133.19,um^2,Surface,20,75842,
1264.02,um^2,Surface,20,75843,
7113.33,um^2,Surface,20,75844,
10798.4,um^2,Surface,20,75845,
8133.52,um^2,Surface,20,75846,
7288.79,um^2,Surface,20,75847,
5961.44,um^2,Surface,20,75848,
11621.5,um^2,Surface,20,75849,
4860.42,um^2,Surface,20,75850,
9562.29,um^2,Surface,20,75851,
2309.63,um^2,Surface,20,75852,
10500.9,um^2,Surface,20,75853,
2921.91,um^2,Surface,20,75854,
4972.64,um^2,Surface,20,75855,
1028.21,um^2,Surface,20,75856,
2367.66,um^2,Surface,20,75857,
4293.47,um^2,Surface,20,75858,
4185.93,um^2,Surface,20,75859,
19864.1,um^2,Surface,20,75860,
11177.8,um^2,Surface,20,75861,
8898.1,um^2,Surface,20,75862,
6108.23,um^2,Surface,20,75863,
11724.3,um^2,Surface,20,75864,
1063.68,um^2,Surface,20,75865,
7049.47,um^2,Surface,20,75866,
22211.6,um^2,Surface,20,75867,
9776.22,um^2,Surface,21,75868,
6865.45,um^2,Surface,21,75869,
4380.54,um^2,Surface,21,75870,
1985.36,um^2,Surface,21,75871,
7704.03,um^2,Surface,21,75872,
2371.06,um^2,Surface,21,75873,
1585.4,um^2,Surface,21,75874,
1814.75,um^2,Surface,21,75875,
10634.1,um^2,Surface,21,75876,
5743.94,um^2,Surface,21,75877,
10780.4,um^2,Surface,21,75878,
1194.23,um^2,Surface,21,75879,
7375.08,um^2,Surface,21,75880,
7895.41,um^2,Surface,21,75881,
6775.92,um^2,Surface,21,75882,
6234.08,um^2,Surface,21,75883,
11578.4,um^2,Surface,21,75884,
4888.23,um^2,Surface,21,75885,
8950.55,um^2,Surface,21,75886,
2115.14,um^2,Surface,21,75887,
10189.1,um^2,Surface,21,75888,
2955.17,um^2,Surface,21,75889,
4182.26,um^2,Surface,21,75890,
1310.04,um^2,Surface,21,75891,
2357.38,um^2,Surface,21,75892,
4459.48,um^2,Surface,21,75893,
3948.66,um^2,Surface,21,75894,
19982.5,um^2,Surface,21,75895,
11376.3,um^2,Surface,21,75896,
8898.53,um^2,Surface,21,75897,
5937.11,um^2,Surface,21,75898,
11582.9,um^2,Surface,21,75899,
6542.29,um^2,Surface,21,75900,
1199.08,um^2,Surface,21,75901,
21107,um^2,Surface,21,75902,
