
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
48104.3,um^3,Surface,13,75614,
39058.6,um^3,Surface,13,75615,
23883.9,um^3,Surface,13,75616,
24622.3,um^3,Surface,13,75617,
42811,um^3,Surface,13,75618,
84953.4,um^3,Surface,13,75619,
2206.9,um^3,Surface,13,75620,
25578.7,um^3,Surface,14,75621,
12984.9,um^3,Surface,14,75622,
1765.36,um^3,Surface,14,75623,
39570.4,um^3,Surface,14,75624,
3891.65,um^3,Surface,14,75625,
5017.06,um^3,Surface,14,75626,
21909.8,um^3,Surface,14,75627,
3952.12,um^3,Surface,14,75628,
37180.4,um^3,Surface,14,75629,
30417,um^3,Surface,14,75630,
39006.9,um^3,Surface,14,75631,
2316.88,um^3,Surface,14,75632,
35898.8,um^3,Surface,14,75633,
27366.4,um^3,Surface,14,75634,
24397.9,um^3,Surface,14,75635,
23258.4,um^3,Surface,14,75636,
35181.4,um^3,Surface,14,75637,
17694.4,um^3,Surface,14,75638,
42736.6,um^3,Surface,14,75639,
6555.35,um^3,Surface,14,75640,
35585.5,um^3,Surface,14,75641,
10797.3,um^3,Surface,14,75642,
20907.2,um^3,Surface,14,75643,
11243.7,um^3,Surface,14,75644,
3269.44,um^3,Surface,14,75645,
16430.6,um^3,Surface,14,75646,
7725.41,um^3,Surface,14,75647,
62952.6,um^3,Surface,14,75648,
49946.2,um^3,Surface,14,75649,
38199.8,um^3,Surface,14,75650,
24009.9,um^3,Surface,14,75651,
40359,um^3,Surface,14,75652,
87444.2,um^3,Surface,14,75653,
25082.8,um^3,Surface,14,75654,
2514.8,um^3,Surface,14,75655,
39565.1,um^3,Surface,15,75656,
26088.7,um^3,Surface,15,75657,
13213.1,um^3,Surface,15,75658,
2124.48,um^3,Surface,15,75659,
1728.7,um^3,Surface,15,75660,
4378.68,um^3,Surface,15,75661,
3509.85,um^3,Surface,15,75662,
21501.3,um^3,Surface,15,75663,
3449.75,um^3,Surface,15,75664,
38116.4,um^3,Surface,15,75665,
29957.5,um^3,Surface,15,75666,
2405.25,um^3,Surface,15,75667,
39926.7,um^3,Surface,15,75668,
35869.3,um^3,Surface,15,75669,
27782.9,um^3,Surface,15,75670,
24871,um^3,Surface,15,75671,
35132.5,um^3,Surface,15,75672,
17591.9,um^3,Surface,15,75673,
22265.6,um^3,Surface,15,75674,
42703.1,um^3,Surface,15,75675,
5940.19,um^3,Surface,15,75676,
10825.2,um^3,Surface,15,75677,
33785.2,um^3,Surface,15,75678,
19869.7,um^3,Surface,15,75679,
3436.84,um^3,Surface,15,75680,
10658.8,um^3,Surface,15,75681,
16184,um^3,Surface,15,75682,
7548.49,um^3,Surface,15,75683,
64435.6,um^3,Surface,15,75684,
50623.5,um^3,Surface,15,75685,
38988.2,um^3,Surface,15,75686,
24498.3,um^3,Surface,15,75687,
40677.8,um^3,Surface,15,75688,
87753.3,um^3,Surface,15,75689,
23899.2,um^3,Surface,15,75690,
2566.31,um^3,Surface,15,75691,
38897.6,um^3,Surface,16,75692,
25618.1,um^3,Surface,16,75693,
12989.6,um^3,Surface,16,75694,
2029.26,um^3,Surface,16,75695,
21957.8,um^3,Surface,16,75696,
3922.18,um^3,Surface,16,75697,
3845.02,um^3,Surface,16,75698,
3715.59,um^3,Surface,16,75699,
37154.3,um^3,Surface,16,75700,
29560,um^3,Surface,16,75701,
38449.6,um^3,Surface,16,75702,
27554.6,um^3,Surface,16,75703,
2585.42,um^3,Surface,16,75704,
34754.2,um^3,Surface,16,75705,
25433,um^3,Surface,16,75706,
35279.3,um^3,Surface,16,75707,
23777.1,um^3,Surface,16,75708,
17960.4,um^3,Surface,16,75709,
42257,um^3,Surface,16,75710,
6846.68,um^3,Surface,16,75711,
34656.1,um^3,Surface,16,75712,
10639.1,um^3,Surface,16,75713,
18603,um^3,Surface,16,75714,
2669.74,um^3,Surface,16,75715,
7543.58,um^3,Surface,16,75716,
11168.9,um^3,Surface,16,75717,
63717.3,um^3,Surface,16,75718,
16466.6,um^3,Surface,16,75719,
47596.4,um^3,Surface,16,75720,
38833,um^3,Surface,16,75721,
24026.9,um^3,Surface,16,75722,
41184.1,um^3,Surface,16,75723,
21507.6,um^3,Surface,16,75724,
2287.21,um^3,Surface,16,75725,
86274.9,um^3,Surface,16,75726,
37694.4,um^3,Surface,17,75727,
24655.4,um^3,Surface,17,75728,
14811.7,um^3,Surface,17,75729,
1971.42,um^3,Surface,17,75730,
21769.2,um^3,Surface,17,75731,
5993.24,um^3,Surface,17,75732,
4281.76,um^3,Surface,17,75733,
3956.76,um^3,Surface,17,75734,
37564.3,um^3,Surface,17,75735,
30096.9,um^3,Surface,17,75736,
38214.1,um^3,Surface,17,75737,
2473.86,um^3,Surface,17,75738,
27824.7,um^3,Surface,17,75739,
34689.1,um^3,Surface,17,75740,
25152.5,um^3,Surface,17,75741,
36783.3,um^3,Surface,17,75742,
24333.5,um^3,Surface,17,75743,
40218.4,um^3,Surface,17,75744,
17843.7,um^3,Surface,17,75745,
33605.7,um^3,Surface,17,75746,
5974.31,um^3,Surface,17,75747,
10575.3,um^3,Surface,17,75748,
18789,um^3,Surface,17,75749,
2401.28,um^3,Surface,17,75750,
11048.8,um^3,Surface,17,75751,
7407.73,um^3,Surface,17,75752,
16634.5,um^3,Surface,17,75753,
64454.7,um^3,Surface,17,75754,
48226,um^3,Surface,17,75755,
24060.8,um^3,Surface,17,75756,
39624.4,um^3,Surface,17,75757,
42711.9,um^3,Surface,17,75758,
86197.9,um^3,Surface,17,75759,
22485.8,um^3,Surface,17,75760,
2603.14,um^3,Surface,17,75761,
3490.15,um^3,Surface,18,75762,
6418.08,um^3,Surface,18,75763,
3317.72,um^3,Surface,18,75764,
21193.7,um^3,Surface,18,75765,
37129,um^3,Surface,18,75766,
25382.3,um^3,Surface,18,75767,
14592.6,um^3,Surface,18,75768,
2303.03,um^3,Surface,18,75769,
38244,um^3,Surface,18,75770,
30387,um^3,Surface,18,75771,
38661.5,um^3,Surface,18,75772,
2917.08,um^3,Surface,18,75773,
26065.2,um^3,Surface,18,75774,
35391.2,um^3,Surface,18,75775,
25809.7,um^3,Surface,18,75776,
37868.2,um^3,Surface,18,75777,
23204.2,um^3,Surface,18,75778,
18375.2,um^3,Surface,18,75779,
40948.5,um^3,Surface,18,75780,
33565.6,um^3,Surface,18,75781,
5852.62,um^3,Surface,18,75782,
11112.1,um^3,Surface,18,75783,
19093.7,um^3,Surface,18,75784,
2700.39,um^3,Surface,18,75785,
10920.5,um^3,Surface,18,75786,
7916.17,um^3,Surface,18,75787,
16492.6,um^3,Surface,18,75788,
64576.5,um^3,Surface,18,75789,
49150.7,um^3,Surface,18,75790,
24481.8,um^3,Surface,18,75791,
39051.7,um^3,Surface,18,75792,
39546.1,um^3,Surface,18,75793,
2300.15,um^3,Surface,18,75794,
21442.8,um^3,Surface,18,75795,
85998.9,um^3,Surface,18,75796,
3975.12,um^3,Surface,19,75797,
6017.3,um^3,Surface,19,75798,
3456.02,um^3,Surface,19,75799,
21411,um^3,Surface,19,75800,
36546.5,um^3,Surface,19,75801,
25512.8,um^3,Surface,19,75802,
14115.2,um^3,Surface,19,75803,
2586.37,um^3,Surface,19,75804,
37390.4,um^3,Surface,19,75805,
30189.6,um^3,Surface,19,75806,
40292.1,um^3,Surface,19,75807,
2762.25,um^3,Surface,19,75808,
25976.9,um^3,Surface,19,75809,
35358.9,um^3,Surface,19,75810,
25454.8,um^3,Surface,19,75811,
21634,um^3,Surface,19,75812,
37787.3,um^3,Surface,19,75813,
18591.8,um^3,Surface,19,75814,
41381.3,um^3,Surface,19,75815,
6148.74,um^3,Surface,19,75816,
33165.9,um^3,Surface,19,75817,
10941.9,um^3,Surface,19,75818,
19090,um^3,Surface,19,75819,
11946.4,um^3,Surface,19,75820,
2500.61,um^3,Surface,19,75821,
7615.37,um^3,Surface,19,75822,
16785.5,um^3,Surface,19,75823,
62956.7,um^3,Surface,19,75824,
48389.3,um^3,Surface,19,75825,
24097.1,um^3,Surface,19,75826,
38970.6,um^3,Surface,19,75827,
39169.9,um^3,Surface,19,75828,
19450.5,um^3,Surface,19,75829,
86013.4,um^3,Surface,19,75830,
2054.83,um^3,Surface,19,75831,
22320.9,um^3,Surface,20,75832,
1666.04,um^3,Surface,20,75833,
37491.5,um^3,Surface,20,75834,
24110.9,um^3,Surface,20,75835,
15214.3,um^3,Surface,20,75836,
4441.5,um^3,Surface,20,75837,
4633.21,um^3,Surface,20,75838,
3371.71,um^3,Surface,20,75839,
4286.95,um^3,Surface,20,75840,
36583.4,um^3,Surface,20,75841,
30796.3,um^3,Surface,20,75842,
3069.57,um^3,Surface,20,75843,
26620.2,um^3,Surface,20,75844,
40164.1,um^3,Surface,20,75845,
34976.8,um^3,Surface,20,75846,
26084.6,um^3,Surface,20,75847,
21261.3,um^3,Surface,20,75848,
37708.1,um^3,Surface,20,75849,
17715.6,um^3,Surface,20,75850,
41070.3,um^3,Surface,20,75851,
5919.87,um^3,Surface,20,75852,
34585.8,um^3,Surface,20,75853,
10612.6,um^3,Surface,20,75854,
18994.6,um^3,Surface,20,75855,
2173.3,um^3,Surface,20,75856,
8028.39,um^3,Surface,20,75857,
11965.3,um^3,Surface,20,75858,
17182.7,um^3,Surface,20,75859,
65873.6,um^3,Surface,20,75860,
48874,um^3,Surface,20,75861,
39949.6,um^3,Surface,20,75862,
24707.6,um^3,Surface,20,75863,
41641.9,um^3,Surface,20,75864,
2170.47,um^3,Surface,20,75865,
19925.2,um^3,Surface,20,75866,
86184.5,um^3,Surface,20,75867,
37061,um^3,Surface,21,75868,
25460.8,um^3,Surface,21,75869,
13085.7,um^3,Surface,21,75870,
4118.46,um^3,Surface,21,75871,
22436.9,um^3,Surface,21,75872,
4858.08,um^3,Surface,21,75873,
3324.31,um^3,Surface,21,75874,
3607.07,um^3,Surface,21,75875,
36369.5,um^3,Surface,21,75876,
29532.3,um^3,Surface,21,75877,
40755.9,um^3,Surface,21,75878,
2987.55,um^3,Surface,21,75879,
26304.8,um^3,Surface,21,75880,
34377.9,um^3,Surface,21,75881,
26648.2,um^3,Surface,21,75882,
21885.4,um^3,Surface,21,75883,
36768.5,um^3,Surface,21,75884,
17747.4,um^3,Surface,21,75885,
39463.4,um^3,Surface,21,75886,
5768.83,um^3,Surface,21,75887,
32884.6,um^3,Surface,21,75888,
10111.4,um^3,Surface,21,75889,
17758.1,um^3,Surface,21,75890,
3003.82,um^3,Surface,21,75891,
7949.6,um^3,Surface,21,75892,
12070.7,um^3,Surface,21,75893,
16636.6,um^3,Surface,21,75894,
65742.2,um^3,Surface,21,75895,
49403.2,um^3,Surface,21,75896,
40233.8,um^3,Surface,21,75897,
25146.5,um^3,Surface,21,75898,
42766.8,um^3,Surface,21,75899,
18448.2,um^3,Surface,21,75900,
2659.08,um^3,Surface,21,75901,
84431.9,um^3,Surface,21,75902,
21802.3,um^3,Surface,22,75903,
36226.6,um^3,Surface,22,75904,
26121.6,um^3,Surface,22,75905,
