
Displacement Delta Length
 ====================
Displacement^2,Unit,Category,Time,TrackID,ID
1.63391,um,Surface,75,1000055218,59581
2.64285,um,Surface,75,1000052665,59582
0.784047,um,Surface,75,1000058101,59583
1.66196,um,Surface,75,1000058490,59584
10.2162,um,Surface,75,1000052678,59585
6.31597,um,Surface,75,1000052676,59586
3.9898,um,Surface,75,1000052682,59587
1.27589,um,Surface,75,1000055969,59588
2.00857,um,Surface,75,1000052684,59589
2.05908,um,Surface,75,1000058301,59590
3.45436,um,Surface,75,1000059221,59591
4.26852,um,Surface,75,1000052686,59592
2.72969,um,Surface,75,1000057244,59593
18.9136,um,Surface,75,1000059133,59594
0.276654,um,Surface,75,1000052692,59595
12.7708,um,Surface,75,1000052649,59596
2.21397,um,Surface,75,1000056302,59597
0.946645,um,Surface,75,1000055724,59598
1.84109,um,Surface,75,1000052679,59599
0.844902,um,Surface,75,1000057445,59600
8.18594,um,Surface,75,1000052785,59601
1.10445,um,Surface,75,1000057529,59602
1.5054,um,Surface,75,1000052697,59603
2.14263,um,Surface,75,1000052696,59604
25.433,um,Surface,75,1000059239,59605
7.45226,um,Surface,75,1000052708,59606
0.638623,um,Surface,75,1000059142,59607
2.98888,um,Surface,75,1000056206,59608
9.60808,um,Surface,75,1000059427,59609
0.632631,um,Surface,75,1000058494,59610
0.9921,um,Surface,75,1000052706,59611
4.12817,um,Surface,75,1000052705,59612
1.88527,um,Surface,75,1000057942,59613
1.46412,um,Surface,75,1000052701,59614
1.83067,um,Surface,75,1000059156,59615
0.392874,um,Surface,75,1000059154,59616
0.727306,um,Surface,75,1000058882,59617
3.16591,um,Surface,75,1000052702,59618
3.135,um,Surface,75,1000052710,59619
21.5835,um,Surface,75,1000059339,59620
7.31471,um,Surface,75,1000052711,59621
1.29131,um,Surface,75,1000052717,59622
5.39672,um,Surface,75,1000057554,59623
6.37467,um,Surface,75,1000056422,59624
7.82976,um,Surface,75,1000056813,59625
5.75006,um,Surface,75,1000052714,59626
