
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0.544006,-0.213501,0.621601,um,Surface,Displacement Delta,3,1000081094,81352,
-1.05003,-0.225037,0.365513,um,Surface,Displacement Delta,3,1000081095,81353,
2.5535,1.03357,-0.316534,um,Surface,Displacement Delta,3,1000081097,81354,
19.5055,14.6291,1.87407,um,Surface,Displacement Delta,3,1000081100,81355,
-7.85776,-14.2492,0.145846,um,Surface,Displacement Delta,3,1000081089,81356,
-13.8156,15.8231,-2.23667,um,Surface,Displacement Delta,3,1000081106,81357,
1.52747,-1.54881,-0.94556,um,Surface,Displacement Delta,3,1000081098,81358,
-0.5177,-0.62674,-1.65282,um,Surface,Displacement Delta,3,1000081099,81359,
-2.20224,0.814819,0.540166,um,Surface,Displacement Delta,3,1000081103,81360,
-0.929871,0.186218,0.477143,um,Surface,Displacement Delta,3,1000081104,81361,
0.332153,-0.536743,-0.511459,um,Surface,Displacement Delta,3,1000081101,81362,
-3.34961,8.86867,1.59677,um,Surface,Displacement Delta,3,1000081108,81363,
0.12674,-1.90649,0.634877,um,Surface,Displacement Delta,3,1000081105,81364,
0.40184,2.56433,-0.503209,um,Surface,Displacement Delta,3,1000081102,81365,
-1.20743,0.0931396,-0.0506105,um,Surface,Displacement Delta,3,1000081107,81366,
3.24875,-0.28833,0.684024,um,Surface,Displacement Delta,3,1000081109,81367,
-0.325775,0.0366058,0.576015,um,Surface,Displacement Delta,3,1000081111,81368,
1.47604,0,-0.183333,um,Surface,Displacement Delta,3,1000081112,81369,
-0.548462,0.358109,-0.11227,um,Surface,Displacement Delta,3,1000081239,81370,
0.318115,0.0274963,-0.492684,um,Surface,Displacement Delta,3,1000081113,81371,
12.4962,18.9188,0.365176,um,Surface,Displacement Delta,3,1000081116,81372,
1.82251,0.157249,-2.0079,um,Surface,Displacement Delta,3,1000081120,81373,
-0.400146,0.0305176,0.440937,um,Surface,Displacement Delta,3,1000081117,81374,
1.51469,-0.45166,-0.388011,um,Surface,Displacement Delta,3,1000081114,81375,
-3.39273,-6.09924,1.28699,um,Surface,Displacement Delta,3,1000081118,81376,
-1.81195,-0.611645,0.52619,um,Surface,Displacement Delta,3,1000081115,81377,
-0.825077,-2.7002,-0.185662,um,Surface,Displacement Delta,3,1000081119,81378,
0.29776,2.60191,0.309276,um,Surface,Displacement Delta,3,1000081122,81379,
0.164764,-1.07098,0.588372,um,Surface,Displacement Delta,3,1000081121,81380,
-0.437134,2.1516,-0.216827,um,Surface,Displacement Delta,3,1000081123,81381,
-0.91333,-1.25648,0.521312,um,Surface,Displacement Delta,3,1000081126,81382,
-0.193817,0.394802,-0.13081,um,Surface,Displacement Delta,3,1000081127,81383,
-0.968567,-0.420792,0.31739,um,Surface,Displacement Delta,3,1000081129,81384,
-0.371094,0.0813293,-0.457918,um,Surface,Displacement Delta,3,1000081128,81385,
-0.7267,-1.00375,-0.393934,um,Surface,Displacement Delta,3,1000081131,81386,
-4.88678,-0.820816,-0.13888,um,Surface,Displacement Delta,3,1000081124,81387,
0,0,0,um,Surface,Displacement Delta,3,1000081388,81388,
0.01474,-6.24854,2.01056,um,Surface,Displacement Delta,3,1000081136,81389,
-0.213783,0.154785,0.775687,um,Surface,Displacement Delta,3,1000081134,81390,
1.41928,2.39328,1.06579,um,Surface,Displacement Delta,3,1000081130,81391,
-0.751648,-4.64835,0.488653,um,Surface,Displacement Delta,3,1000081132,81392,
-10.6861,6.77939,0.068676,um,Surface,Displacement Delta,3,1000081133,81393,
-0.125702,-0.00585938,0.755037,um,Surface,Displacement Delta,3,1000081263,81394,
